date,value
2005-02-10,15.5753
2005-02-11,18.5227
2005-02-12,18.5227
2005-02-13,18.5227
2005-02-14,21.2596
2005-02-15,23.9125
2005-02-16,26.6902
2005-02-17,28.5523
2005-02-18,30.2813
2005-02-19,30.2813
2005-02-20,30.2813
2005-02-21,31.975
2005-02-22,34.1005
2005-02-23,36.0465
2005-02-24,37.9727
2005-02-25,40.0236
2005-02-26,40.0236
2005-02-27,40.0236
2005-02-28,41.2758
2005-03-01,41.7056
2005-03-02,41.4402
2005-03-03,41.8991
2005-03-04,42.3913
2005-03-05,42.3913
2005-03-06,42.3913
2005-03-07,42.3814
2005-03-08,42.3721
2005-03-09,41.7671
2005-03-10,38.9413
2005-03-11,36.3744
2005-03-12,36.3744
2005-03-13,36.3744
2005-03-14,33.9725
2005-03-15,32.3279
2005-03-16,30.277
2005-03-17,29.527
2005-03-18,29.0303
2005-03-19,29.0303
2005-03-20,29.0303
2005-03-21,28.8886
2005-03-22,29.2045
2005-03-23,27.9357
2005-03-24,26.5229
2005-03-25,26.5229
2005-03-26,26.5229
2005-03-27,26.5229
2005-03-28,24.9309
2005-03-29,23.9267
2005-03-30,22.5278
2005-03-31,22.1371
2005-04-01,22.7274
2005-04-02,22.7274
2005-04-03,22.7274
2005-04-04,23.6774
2005-04-05,23.3264
2005-04-06,22.7773
2005-04-07,22.5812
2005-04-08,22.0739
2005-04-09,22.0739
2005-04-10,22.0739
2005-04-11,21.4848
2005-04-12,20.6214
2005-04-13,19.494
2005-04-14,18.7907
2005-04-15,19.0165
2005-04-16,19.0165
2005-04-17,19.0165
2005-04-18,19.2261
2005-04-19,18.3019
2005-04-20,17.1424
2005-04-21,16.2676
2005-04-22,15.2075
2005-04-23,15.2075
2005-04-24,15.2075
2005-04-25,14.3522
2005-04-26,13.3834
2005-04-27,13.3119
2005-04-28,13.3277
2005-04-29,12.7688
2005-04-30,12.7688
2005-05-01,12.7688
2005-05-02,12.4785
2005-05-03,12.209
2005-05-04,11.7444
2005-05-05,11.8385
2005-05-06,12.5016
2005-05-07,12.5016
2005-05-08,12.5016
2005-05-09,12.821
2005-05-10,13.0886
2005-05-11,12.8334
2005-05-12,12.3329
2005-05-13,12.4394
2005-05-14,12.4394
2005-05-15,12.4394
2005-05-16,12.8077
2005-05-17,12.0494
2005-05-18,11.4493
2005-05-19,10.8921
2005-05-20,10.1163
2005-05-21,10.1163
2005-05-22,10.1163
2005-05-23,10.1163
2005-05-24,9.638
2005-05-25,9.9466
2005-05-26,10.6619
2005-05-27,11.5924
2005-05-28,11.5924
2005-05-29,11.5924
2005-05-30,13.0555
2005-05-31,13.8972
2005-06-01,15.0145
2005-06-02,16.3065
2005-06-03,17.5614
2005-06-04,17.5614
2005-06-05,17.5614
2005-06-06,18.7395
2005-06-07,20.0149
2005-06-08,21.6945
2005-06-09,23.8811
2005-06-10,26.4101
2005-06-11,26.4101
2005-06-12,26.4101
2005-06-13,29.1108
2005-06-14,31.6825
2005-06-15,34.2952
2005-06-16,37.0167
2005-06-17,39.8426
2005-06-18,39.8426
2005-06-19,39.8426
2005-06-20,42.4665
2005-06-21,44.4466
2005-06-22,45.2987
2005-06-23,46.209
2005-06-24,47.0014
2005-06-25,47.0014
2005-06-26,47.0014
2005-06-27,48.3848
2005-06-28,49.6694
2005-06-29,49.2537
2005-06-30,48.8807
2005-07-01,48.8807
2005-07-02,48.8807
2005-07-03,48.8807
2005-07-04,49.0227
2005-07-05,49.7582
2005-07-06,50.7143
2005-07-07,50.4676
2005-07-08,50.6354
2005-07-09,50.6354
2005-07-10,50.6354
2005-07-11,50.1881
2005-07-12,50.1489
2005-07-13,49.394
2005-07-14,46.6939
2005-07-15,44.091
2005-07-16,44.091
2005-07-17,44.091
2005-07-18,41.123
2005-07-19,38.367
2005-07-20,36.0256
2005-07-21,33.5481
2005-07-22,31.6598
2005-07-23,31.6598
2005-07-24,31.6598
2005-07-25,30.4093
2005-07-26,29.4345
2005-07-27,27.6757
2005-07-28,26.1578
2005-07-29,24.5311
2005-07-30,24.5311
2005-07-31,24.5311
2005-08-01,24.5311
2005-08-02,24.351
2005-08-03,24.6629
2005-08-04,25.7053
2005-08-05,27.1781
2005-08-06,27.1781
2005-08-07,27.1781
2005-08-08,29.013
2005-08-09,30.7168
2005-08-10,32.5964
2005-08-11,34.6327
2005-08-12,35.9567
2005-08-13,35.9567
2005-08-14,35.9567
2005-08-15,36.2225
2005-08-16,35.5091
2005-08-17,33.4319
2005-08-18,31.4305
2005-08-19,30.5027
2005-08-20,30.5027
2005-08-21,30.5027
2005-08-22,30.1079
2005-08-23,29.524
2005-08-24,29.2489
2005-08-25,28.8584
2005-08-26,28.6939
2005-08-27,28.6939
2005-08-28,28.6939
2005-08-29,28.8002
2005-08-30,29.1844
2005-08-31,29.7538
2005-09-01,30.8813
2005-09-02,31.21
2005-09-03,31.21
2005-09-04,31.21
2005-09-05,31.21
2005-09-06,30.1177
2005-09-07,29.246
2005-09-08,28.7342
2005-09-09,28.471
2005-09-10,28.471
2005-09-11,28.471
