date,value
2005-01-17,101.164
2005-01-18,-18.2701
2005-01-19,-97.7897
2005-01-20,-64.2475
2005-01-21,36.3778
2005-01-22,36.3778
2005-01-23,36.3778
2005-01-24,-47.4496
2005-01-25,-126.9834
2005-01-26,-54.4968
2005-01-27,-14.0397
2005-01-28,-96.5174
2005-01-29,-96.5174
2005-01-30,-96.5174
2005-01-31,-121.4523
2005-02-01,-155.6346
2005-02-02,-170.0755
2005-02-03,-165.3289
2005-02-04,-137.004
2005-02-05,-137.004
2005-02-06,-137.004
2005-02-07,-40.9261
2005-02-08,26.4809
2005-02-09,96.5501
2005-02-10,116.5973
2005-02-11,30.0493
2005-02-12,30.0493
2005-02-13,30.0493
2005-02-14,6.5463
2005-02-15,22.3267
2005-02-16,12.7874
2005-02-17,-46.5625
2005-02-18,-38.7375
2005-02-19,-38.7375
2005-02-20,-38.7375
2005-02-21,40.638
2005-02-22,45.9501
2005-02-23,65.4252
2005-02-24,-31.6122
2005-02-25,-69.4976
2005-02-26,-69.4976
2005-02-27,-69.4976
2005-02-28,-237.9989
2005-03-01,-3.0688
2005-03-02,170.6566
2005-03-03,9.6325
2005-03-04,-33.8851
2005-03-05,-33.8851
2005-03-06,-33.8851
2005-03-07,30.925
2005-03-08,92.2546
2005-03-09,122.5871
2005-03-10,86.339
2005-03-11,96.7588
2005-03-12,96.7588
2005-03-13,96.7588
2005-03-14,64.4085
2005-03-15,91.8234
2005-03-16,137.8049
2005-03-17,149.1723
2005-03-18,141.3571
2005-03-19,141.3571
2005-03-20,141.3571
2005-03-21,101.8441
2005-03-22,94.6366
2005-03-23,63.4862
2005-03-24,53.6421
2005-03-25,53.6421
2005-03-26,53.6421
2005-03-27,53.6421
2005-03-28,53.5191
2005-03-29,70.3807
2005-03-30,81.8717
2005-03-31,250.1848
2005-04-01,121.3971
2005-04-02,121.3971
2005-04-03,121.3971
2005-04-04,157.8699
2005-04-05,166.219
2005-04-06,50.1781
2005-04-07,-74.8136
2005-04-08,-70.4625
2005-04-09,-70.4625
2005-04-10,-70.4625
2005-04-11,13.5932
2005-04-12,128.5216
2005-04-13,15.7567
2005-04-14,14.5198
2005-04-15,-32.7306
2005-04-16,-32.7306
2005-04-17,-32.7306
2005-04-18,-76.0755
2005-04-19,-89.7636
2005-04-20,-76.7093
2005-04-21,-48.3015
2005-04-22,-6.3891
2005-04-23,-6.3891
2005-04-24,-6.3891
2005-04-25,-33.965
2005-04-26,-73.8607
2005-04-27,-32.8562
2005-04-28,-29.9196
2005-04-29,217.8401
2005-04-30,217.8401
2005-05-01,217.8401
2005-05-02,59.2225
2005-05-03,46.8487
2005-05-04,-115.1433
2005-05-05,-143.6466
2005-05-06,-181.3366
2005-05-07,-181.3366
2005-05-08,-181.3366
2005-05-09,-144.5732
2005-05-10,-203.4675
2005-05-11,-211.5669
2005-05-12,-150.0884
2005-05-13,-105.6745
2005-05-14,-105.6745
2005-05-15,-105.6745
2005-05-16,-96.1538
2005-05-17,-77.3297
2005-05-18,-92.1506
2005-05-19,-61.3342
2005-05-20,-25.0073
2005-05-21,-25.0073
2005-05-22,-25.0073
2005-05-23,-25.0073
2005-05-24,-5.8791
2005-05-25,25.4651
2005-05-26,68.1559
2005-05-27,-36.8957
2005-05-28,-36.8957
2005-05-29,-36.8957
2005-05-30,55.5802
2005-05-31,-28.6993
2005-06-01,-145.7892
2005-06-02,-221.3734
2005-06-03,-69.275
2005-06-04,-69.275
2005-06-05,-69.275
2005-06-06,8.0225
2005-06-07,120.8916
2005-06-08,161.2757
2005-06-09,187.6484
2005-06-10,131.6254
2005-06-11,131.6254
2005-06-12,131.6254
2005-06-13,109.8148
2005-06-14,48.4062
2005-06-15,37.7128
2005-06-16,49.101
2005-06-17,38.9109
2005-06-18,38.9109
2005-06-19,38.9109
2005-06-20,20.9495
2005-06-21,37.1241
2005-06-22,57.3203
2005-06-23,109.8021
2005-06-24,151.6177
2005-06-25,151.6177
2005-06-26,151.6177
2005-06-27,39.5312
2005-06-28,83.9898
2005-06-29,143.4181
2005-06-30,-30.2372
2005-07-01,-30.2372
2005-07-02,-30.2372
2005-07-03,-30.2372
2005-07-04,-102.7282
2005-07-05,-136.933
2005-07-06,-38.5423
2005-07-07,-10.7346
2005-07-08,53.2686
2005-07-09,53.2686
2005-07-10,53.2686
2005-07-11,120.5307
2005-07-12,75.5392
2005-07-13,10.5657
2005-07-14,47.6613
2005-07-15,119.995
2005-07-16,119.995
2005-07-17,119.995
2005-07-18,129.5586
2005-07-19,224.9468
2005-07-20,186.1367
2005-07-21,88.1958
2005-07-22,67.3733
2005-07-23,67.3733
2005-07-24,67.3733
2005-07-25,20.3812
2005-07-26,-23.2469
2005-07-27,51.1765
2005-07-28,60.9099
2005-07-29,-52.0966
2005-07-30,-52.0966
2005-07-31,-52.0966
2005-08-01,-52.0966
2005-08-02,139.6423
2005-08-03,117.2692
2005-08-04,168.4428
2005-08-05,149.6328
2005-08-06,149.6328
2005-08-07,149.6328
2005-08-08,145.1388
2005-08-09,144.0788
2005-08-10,131.1521
2005-08-11,105.7342
2005-08-12,52.9177
2005-08-13,52.9177
2005-08-14,52.9177
2005-08-15,30.5527
2005-08-16,29.386
2005-08-17,22.0456
2005-08-18,-113.1427
2005-08-19,-93.3861
2005-08-20,-93.3861
2005-08-21,-93.3861
2005-08-22,-124.0798
2005-08-23,-116.6063
2005-08-24,-138.5041
2005-08-25,-89.0821
2005-08-26,-80.0404
2005-08-27,-80.0404
2005-08-28,-80.0404
2005-08-29,-128.2249
2005-08-30,-91.4169
2005-08-31,189.7971
2005-09-01,203.5202
2005-09-02,162.0288
2005-09-03,162.0288
2005-09-04,162.0288
2005-09-05,162.0288
2005-09-06,141.8615
2005-09-07,112.089
2005-09-08,107.1065
2005-09-09,109.5106
2005-09-10,109.5106
2005-09-11,109.5106
2005-09-12,104.5308
2005-09-13,94.9643
2005-09-14,59.7011
2005-09-15,82.324
2005-09-16,119.4645
2005-09-17,119.4645
2005-09-18,119.4645
2005-09-19,166.9405
2005-09-20,-131.7582
2005-09-21,-189.4319
2005-09-22,-103.408
2005-09-23,-20.4405
2005-09-24,-20.4405
2005-09-25,-20.4405
2005-09-26,20.8673
2005-09-27,25.6549
2005-09-28,-32.3247
2005-09-29,-34.333
2005-09-30,20.4093
2005-10-01,20.4093
2005-10-02,20.4093
2005-10-03,22.3162
2005-10-04,0.1621
2005-10-05,-98.7391
2005-10-06,-232.8299
