date,value
2005-01-17,89.7095
2005-01-18,176.0461
2005-01-19,118.2201
2005-01-20,39.03
2005-01-21,68.6078
2005-01-22,68.6078
2005-01-23,68.6078
2005-01-24,109.0946
2005-01-25,180.9682
2005-01-26,165.623
2005-01-27,147.53
2005-01-28,94.7953
2005-01-29,94.7953
2005-01-30,94.7953
2005-01-31,108.6433
2005-02-01,154.4963
2005-02-02,124.1891
2005-02-03,143.2027
2005-02-04,140.6063
2005-02-05,140.6063
2005-02-06,140.6063
2005-02-07,100.186
2005-02-08,39.9653
2005-02-09,55.2954
2005-02-10,124.5222
2005-02-11,150.1556
2005-02-12,150.1556
2005-02-13,150.1556
2005-02-14,125.0073
2005-02-15,73.3812
2005-02-16,78.9546
2005-02-17,65.0659
2005-02-18,76.3137
2005-02-19,76.3137
2005-02-20,76.3137
2005-02-21,96.5661
2005-02-22,189.294
2005-02-23,183.7376
2005-02-24,154.1257
2005-02-25,125.4664
2005-02-26,125.4664
2005-02-27,125.4664
2005-02-28,98.3737
2005-03-01,93.3569
2005-03-02,81.4674
2005-03-03,117.9081
2005-03-04,154.9689
2005-03-05,154.9689
2005-03-06,154.9689
2005-03-07,95.9869
2005-03-08,40.109
2005-03-09,-8.7196
2005-03-10,-176.0734
2005-03-11,-138.8325
2005-03-12,-138.8325
2005-03-13,-138.8325
2005-03-14,-115.9428
2005-03-15,-51.6946
2005-03-16,-32.2098
2005-03-17,25.4316
2005-03-18,80.0549
2005-03-19,80.0549
2005-03-20,80.0549
2005-03-21,65.3291
2005-03-22,53.1212
2005-03-23,-33.0161
2005-03-24,-38.9621
2005-03-25,-38.9621
2005-03-26,-38.9621
2005-03-27,-38.9621
2005-03-28,-78.9003
2005-03-29,-1.9458
2005-03-30,3.7162
2005-03-31,91.6702
2005-04-01,168.4098
2005-04-02,168.4098
2005-04-03,168.4098
2005-04-04,175.7661
2005-04-05,105.2356
2005-04-06,71.2608
2005-04-07,83.6739
2005-04-08,43.4914
2005-04-09,43.4914
2005-04-10,43.4914
2005-04-11,9.8824
2005-04-12,-34.1813
2005-04-13,-154.6233
2005-04-14,-138.0702
2005-04-15,-108.6452
2005-04-16,-108.6452
2005-04-17,-108.6452
2005-04-18,-111.842
2005-04-19,-21.0421
2005-04-20,32.2265
2005-04-21,-6.241
2005-04-22,-17.4761
2005-04-23,-17.4761
2005-04-24,-17.4761
2005-04-25,59.7442
2005-04-26,61.7793
2005-04-27,-39.7082
2005-04-28,-170.6228
2005-04-29,-147.3628
2005-04-30,-147.3628
2005-05-01,-147.3628
2005-05-02,-120.7183
2005-05-03,-114.2482
2005-05-04,-81.6634
2005-05-05,-59.0489
2005-05-06,-43.5921
2005-05-07,-43.5921
2005-05-08,-43.5921
2005-05-09,-83.7525
2005-05-10,-60.0148
2005-05-11,-129.208
2005-05-12,-247.7803
2005-05-13,-187.0105
2005-05-14,-187.0105
2005-05-15,-187.0105
2005-05-16,-150.4571
2005-05-17,-62.5982
2005-05-18,-45.5273
2005-05-19,-19.4562
2005-05-20,4.3188
2005-05-21,4.3188
2005-05-22,4.3188
2005-05-23,4.3188
2005-05-24,77.4808
2005-05-25,142.529
2005-05-26,154.3822
2005-05-27,149.7733
2005-05-28,149.7733
2005-05-29,149.7733
2005-05-30,146.8535
2005-05-31,43.3431
2005-06-01,58.2692
2005-06-02,51.2697
2005-06-03,71.4655
2005-06-04,71.4655
2005-06-05,71.4655
2005-06-06,126.4333
2005-06-07,126.0492
2005-06-08,162.9663
2005-06-09,207.9777
2005-06-10,157.963
2005-06-11,157.963
2005-06-12,157.963
2005-06-13,127.6466
2005-06-14,109.5413
2005-06-15,94.4858
2005-06-16,82.3457
2005-06-17,69.6139
2005-06-18,69.6139
2005-06-19,69.6139
2005-06-20,129.5335
2005-06-21,91.7892
2005-06-22,132.2945
2005-06-23,84.9893
2005-06-24,41.8366
