date,value
2005-01-17,118.3719
2005-01-18,105.863
2005-01-19,45.3302
2005-01-20,19.5652
2005-01-21,-67.1949
2005-01-22,-67.1949
2005-01-23,-67.1949
2005-01-24,-36.5769
2005-01-25,-81.1538
2005-01-26,-133.6948
2005-01-27,-109.6836
2005-01-28,-117.2983
2005-01-29,-117.2983
2005-01-30,-117.2983
2005-01-31,-121.9751
2005-02-01,30.1169
2005-02-02,131.9952
2005-02-03,107.3572
2005-02-04,142.3763
2005-02-05,142.3763
2005-02-06,142.3763
2005-02-07,91.8735
2005-02-08,45.5839
2005-02-09,75.3482
2005-02-10,192.2703
2005-02-11,217.8732
2005-02-12,217.8732
2005-02-13,217.8732
2005-02-14,150.4199
2005-02-15,117.5175
2005-02-16,111.404
2005-02-17,68.0577
2005-02-18,61.7823
2005-02-19,61.7823
2005-02-20,61.7823
2005-02-21,58.587
2005-02-22,97.2875
2005-02-23,108.8942
2005-02-24,102.9868
2005-02-25,145.8267
2005-02-26,145.8267
2005-02-27,145.8267
2005-02-28,78.289
2005-03-01,-22.971
2005-03-02,-28.6703
2005-03-03,125.0147
2005-03-04,109.8576
2005-03-05,109.8576
2005-03-06,109.8576
2005-03-07,69.7924
2005-03-08,74.0032
2005-03-09,11.8876
2005-03-10,-166.563
2005-03-11,-98.4715
2005-03-12,-98.4715
2005-03-13,-98.4715
2005-03-14,-77.2974
2005-03-15,-58.492
2005-03-16,-74.2481
2005-03-17,41.7211
2005-03-18,79.5379
2005-03-19,79.5379
2005-03-20,79.5379
2005-03-21,89.5168
2005-03-22,102.8256
2005-03-23,1.9394
2005-03-24,-34.325
2005-03-25,-34.325
2005-03-26,-34.325
2005-03-27,-34.325
2005-03-28,-73.2847
2005-03-29,-83.6073
2005-03-30,-126.2517
2005-03-31,34.6214
2005-04-01,136.3941
2005-04-02,136.3941
2005-04-03,136.3941
2005-04-04,123.9138
2005-04-05,36.9686
2005-04-06,60.8068
2005-04-07,58.5396
2005-04-08,14.2166
2005-04-09,14.2166
2005-04-10,14.2166
2005-04-11,8.1318
2005-04-12,-31.6045
2005-04-13,-175.9712
2005-04-14,-174.8572
2005-04-15,-171.3111
2005-04-16,-171.3111
2005-04-17,-171.3111
2005-04-18,-117.8661
2005-04-19,-41.9094
2005-04-20,-36.1457
2005-04-21,-18.6845
2005-04-22,32.47
2005-04-23,32.47
2005-04-24,32.47
2005-04-25,74.9774
2005-04-26,48.094
2005-04-27,-38.3069
2005-04-28,-46.1115
2005-04-29,-2.9293
2005-04-30,-2.9293
2005-05-01,-2.9293
2005-05-02,142.2848
2005-05-03,129.5259
2005-05-04,112.503
2005-05-05,146.4673
2005-05-06,130.272
2005-05-07,130.272
2005-05-08,130.272
2005-05-09,90.383
2005-05-10,60.4237
2005-05-11,21.4024
2005-05-12,-93.7312
2005-05-13,-165.5531
2005-05-14,-165.5531
2005-05-15,-165.5531
2005-05-16,-146.2676
2005-05-17,-58.6832
2005-05-18,-67.0939
2005-05-19,-53.7208
2005-05-20,-74.6023
2005-05-21,-74.6023
2005-05-22,-74.6023
2005-05-23,-74.6023
2005-05-24,-8.1737
2005-05-25,81.2297
2005-05-26,198.5357
2005-05-27,166.8564
2005-05-28,166.8564
2005-05-29,166.8564
2005-05-30,162.1209
2005-05-31,90.9171
2005-06-01,102.0822
2005-06-02,99.536
2005-06-03,87.3496
2005-06-04,87.3496
2005-06-05,87.3496
2005-06-06,84.7752
2005-06-07,86.8738
2005-06-08,125.7197
2005-06-09,206.4725
2005-06-10,201.3923
2005-06-11,201.3923
2005-06-12,201.3923
2005-06-13,169.619
2005-06-14,131.519
2005-06-15,120.8972
2005-06-16,117.2176
2005-06-17,121.5609
2005-06-18,121.5609
