date,value
2005-01-17,11.0721
2005-01-18,11.0829
2005-01-19,11.0743
2005-01-20,11.0733
2005-01-21,11.0826
2005-01-22,11.0826
2005-01-23,11.0826
2005-01-24,11.0882
2005-01-25,11.0698
2005-01-26,11.0683
2005-01-27,11.0636
2005-01-28,11.0578
2005-01-29,11.0578
2005-01-30,11.0578
2005-01-31,11.0443
2005-02-01,11.0271
2005-02-02,11.0003
2005-02-03,10.9668
2005-02-04,10.9293
2005-02-05,10.9293
2005-02-06,10.9293
2005-02-07,10.9189
2005-02-08,10.9239
2005-02-09,10.9448
2005-02-10,10.9667
2005-02-11,10.9744
2005-02-12,10.9744
2005-02-13,10.9744
2005-02-14,10.9646
2005-02-15,10.9613
2005-02-16,10.9606
2005-02-17,10.9505
2005-02-18,10.9491
2005-02-19,10.9491
2005-02-20,10.9491
2005-02-21,10.956
2005-02-22,10.9677
2005-02-23,10.9753
2005-02-24,10.9727
2005-02-25,10.9605
2005-02-26,10.9605
2005-02-27,10.9605
2005-02-28,10.9457
2005-03-01,10.9519
2005-03-02,10.9846
2005-03-03,10.9992
2005-03-04,10.9869
2005-03-05,10.9869
2005-03-06,10.9869
2005-03-07,10.9842
2005-03-08,10.9935
2005-03-09,11.0113
2005-03-10,11.0224
2005-03-11,11.0481
2005-03-12,11.0481
2005-03-13,11.0481
2005-03-14,11.0574
2005-03-15,11.0672
2005-03-16,11.0942
2005-03-17,11.1212
2005-03-18,11.1459
2005-03-19,11.1459
2005-03-20,11.1459
2005-03-21,11.1696
2005-03-22,11.191
2005-03-23,11.2037
2005-03-24,11.2121
2005-03-25,11.2121
2005-03-26,11.2121
2005-03-27,11.2121
2005-03-28,11.221
2005-03-29,11.231
2005-03-30,11.2406
2005-03-31,11.2614
2005-04-01,11.2784
2005-04-02,11.2784
2005-04-03,11.2784
2005-04-04,11.3025
2005-04-05,11.3264
2005-04-06,11.3384
2005-04-07,11.3284
2005-04-08,11.3162
2005-04-09,11.3162
2005-04-10,11.3162
2005-04-11,11.3239
2005-04-12,11.3439
2005-04-13,11.3589
2005-04-14,11.3609
2005-04-15,11.3666
2005-04-16,11.3666
2005-04-17,11.3666
2005-04-18,11.3672
2005-04-19,11.3534
2005-04-20,11.3434
2005-04-21,11.3353
2005-04-22,11.3347
2005-04-23,11.3347
2005-04-24,11.3347
2005-04-25,11.3329
2005-04-26,11.3226
2005-04-27,11.3176
2005-04-28,11.3127
2005-04-29,11.3238
2005-04-30,11.3238
2005-05-01,11.3238
2005-05-02,11.3288
2005-05-03,11.3322
2005-05-04,11.3193
2005-05-05,11.3053
2005-05-06,11.2972
2005-05-07,11.2972
2005-05-08,11.2972
2005-05-09,11.2797
2005-05-10,11.2702
2005-05-11,11.2228
2005-05-12,11.1724
2005-05-13,11.1442
2005-05-14,11.1442
2005-05-15,11.1442
2005-05-16,11.1006
2005-05-17,11.082
2005-05-18,11.0361
2005-05-19,11.0033
2005-05-20,10.9853
2005-05-21,10.9853
2005-05-22,10.9853
2005-05-23,10.9853
2005-05-24,10.9747
2005-05-25,10.9647
2005-05-26,10.9523
2005-05-27,10.9334
2005-05-28,10.9334
2005-05-29,10.9334
2005-05-30,10.9241
2005-05-31,10.9137
2005-06-01,10.9018
2005-06-02,10.8743
2005-06-03,10.8675
2005-06-04,10.8675
2005-06-05,10.8675
2005-06-06,10.8708
2005-06-07,10.8865
2005-06-08,10.917
2005-06-09,10.9619
2005-06-10,10.9958
2005-06-11,10.9958
2005-06-12,10.9958
2005-06-13,11.0328
2005-06-14,11.0409
2005-06-15,11.0587
2005-06-16,11.0711
2005-06-17,11.0841
2005-06-18,11.0841
2005-06-19,11.0841
2005-06-20,11.0878
2005-06-21,11.0908
2005-06-22,11.096
2005-06-23,11.1065
2005-06-24,11.1234
2005-06-25,11.1234
2005-06-26,11.1234
2005-06-27,11.1275
2005-06-28,11.1364
2005-06-29,11.1506
2005-06-30,11.1629
2005-07-01,11.1629
2005-07-02,11.1629
2005-07-03,11.1629
2005-07-04,11.1522
2005-07-05,11.1373
2005-07-06,11.1361
2005-07-07,11.1393
2005-07-08,11.1502
2005-07-09,11.1502
2005-07-10,11.1502
2005-07-11,11.1633
2005-07-12,11.1712
2005-07-13,11.1749
2005-07-14,11.1752
2005-07-15,11.183
2005-07-16,11.183
2005-07-17,11.183
2005-07-18,11.1998
2005-07-19,11.2335
2005-07-20,11.2715
2005-07-21,11.2908
2005-07-22,11.3052
2005-07-23,11.3052
2005-07-24,11.3052
2005-07-25,11.3094
2005-07-26,11.3066
2005-07-27,11.3257
2005-07-28,11.3455
2005-07-29,11.3403
2005-07-30,11.3403
2005-07-31,11.3403
2005-08-01,11.3403
2005-08-02,11.3664
2005-08-03,11.3864
2005-08-04,11.4138
2005-08-05,11.4549
2005-08-06,11.4549
2005-08-07,11.4549
2005-08-08,11.503
2005-08-09,11.5485
2005-08-10,11.6113
2005-08-11,11.6524
2005-08-12,11.6763
2005-08-13,11.6763
2005-08-14,11.6763
2005-08-15,11.6793
2005-08-16,11.7142
2005-08-17,11.7165
2005-08-18,11.7135
2005-08-19,11.7001
2005-08-20,11.7001
2005-08-21,11.7001
2005-08-22,11.6891
2005-08-23,11.6808
2005-08-24,11.6581
2005-08-25,11.6506
2005-08-26,11.6417
2005-08-27,11.6417
2005-08-28,11.6417
2005-08-29,11.6172
2005-08-30,11.5964
2005-08-31,11.6429
2005-09-01,11.6892
2005-09-02,11.7458
2005-09-03,11.7458
2005-09-04,11.7458
2005-09-05,11.7458
2005-09-06,11.819
2005-09-07,11.8809
2005-09-08,11.9454
2005-09-09,12.0147
2005-09-10,12.0147
2005-09-11,12.0147
2005-09-12,12.0742
2005-09-13,12.1342
2005-09-14,12.161
2005-09-15,12.1996
2005-09-16,12.2522
2005-09-17,12.2522
2005-09-18,12.2522
2005-09-19,12.3258
2005-09-20,12.2989
2005-09-21,12.2372
2005-09-22,12.2089
2005-09-23,12.2207
2005-09-24,12.2207
2005-09-25,12.2207
2005-09-26,12.245
2005-09-27,12.2628
2005-09-28,12.2648
2005-09-29,12.2531
2005-09-30,12.2618
2005-10-01,12.2618
2005-10-02,12.2618
2005-10-03,12.2507
2005-10-04,12.2375
2005-10-05,12.2266
2005-10-06,12.1822
2005-10-07,12.1312
2005-10-08,12.1312
2005-10-09,12.1312
2005-10-10,12.1312
2005-10-11,12.0839
2005-10-12,12.0389
2005-10-13,11.9944
2005-10-14,11.9587
2005-10-15,11.9587
2005-10-16,11.9587
2005-10-17,11.9184
2005-10-18,11.8644
2005-10-19,11.8231
2005-10-20,11.7432
2005-10-21,11.6584
2005-10-22,11.6584
2005-10-23,11.6584
2005-10-24,11.582
2005-10-25,11.5327
2005-10-26,11.4882
2005-10-27,11.4462
2005-10-28,11.3875
2005-10-29,11.3875
2005-10-30,11.3875
2005-10-31,11.3785
2005-11-01,11.3432
2005-11-02,11.2439
2005-11-03,11.1347
2005-11-04,11.0531
2005-11-05,11.0531
2005-11-06,11.0531
2005-11-07,10.9794
2005-11-08,10.9058
2005-11-09,10.8476
2005-11-10,10.7973
2005-11-11,10.7415
2005-11-12,10.7415
2005-11-13,10.7415
2005-11-14,10.6958
2005-11-15,10.6661
2005-11-16,10.6355
