date,value
2005-01-17,17.1323
2005-01-18,17.1709
2005-01-19,17.2846
2005-01-20,17.3182
2005-01-21,17.3498
2005-01-22,17.3498
2005-01-23,17.3498
2005-01-24,17.4157
2005-01-25,17.4822
2005-01-26,17.6076
2005-01-27,17.7539
2005-01-28,17.867
2005-01-29,17.867
2005-01-30,17.867
2005-01-31,17.9559
2005-02-01,18.1348
2005-02-02,18.3098
2005-02-03,18.474
2005-02-04,18.7038
2005-02-05,18.7038
2005-02-06,18.7038
2005-02-07,18.9633
2005-02-08,19.0863
2005-02-09,19.1369
2005-02-10,19.2605
2005-02-11,19.4304
2005-02-12,19.4304
2005-02-13,19.4304
2005-02-14,19.6631
2005-02-15,19.7977
2005-02-16,19.8962
2005-02-17,20.0268
2005-02-18,20.0903
2005-02-19,20.0903
2005-02-20,20.0903
2005-02-21,20.2106
2005-02-22,20.3523
2005-02-23,20.5397
2005-02-24,20.751
2005-02-25,20.9552
2005-02-26,20.9552
2005-02-27,20.9552
2005-02-28,21.1977
2005-03-01,21.339
2005-03-02,21.4751
2005-03-03,21.6425
2005-03-04,21.8533
2005-03-05,21.8533
2005-03-06,21.8533
2005-03-07,22.0727
2005-03-08,22.1314
2005-03-09,22.2126
2005-03-10,22.1385
2005-03-11,21.9816
2005-03-12,21.9816
2005-03-13,21.9816
2005-03-14,21.8448
2005-03-15,21.7995
2005-03-16,21.767
2005-03-17,21.7958
2005-03-18,21.9004
2005-03-19,21.9004
2005-03-20,21.9004
2005-03-21,21.9891
2005-03-22,22.063
2005-03-23,22.0564
2005-03-24,22.0205
2005-03-25,22.0205
2005-03-26,22.0205
2005-03-27,22.0205
2005-03-28,21.9495
2005-03-29,21.8812
2005-03-30,21.9076
2005-03-31,21.9516
2005-04-01,22.1048
2005-04-02,22.1048
2005-04-03,22.1048
2005-04-04,22.3541
2005-04-05,22.5751
2005-04-06,22.666
2005-04-07,22.7994
2005-04-08,22.9224
2005-04-09,22.9224
2005-04-10,22.9224
2005-04-11,22.9475
2005-04-12,22.9885
2005-04-13,22.9362
2005-04-14,22.8232
2005-04-15,22.7298
2005-04-16,22.7298
2005-04-17,22.7298
2005-04-18,22.6288
2005-04-19,22.5765
2005-04-20,22.6331
2005-04-21,22.6772
2005-04-22,22.6484
2005-04-23,22.6484
2005-04-24,22.6484
2005-04-25,22.6226
2005-04-26,22.626
2005-04-27,22.6244
2005-04-28,22.5739
2005-04-29,22.4283
2005-04-30,22.4283
2005-05-01,22.4283
2005-05-02,22.289
2005-05-03,22.1419
2005-05-04,22.0395
2005-05-05,21.9543
2005-05-06,21.9057
2005-05-07,21.9057
2005-05-08,21.9057
2005-05-09,21.8628
2005-05-10,21.7842
2005-05-11,21.7433
2005-05-12,21.6596
2005-05-13,21.4811
2005-05-14,21.4811
2005-05-15,21.4811
2005-05-16,21.3185
2005-05-17,21.1385
2005-05-18,21.1344
2005-05-19,21.0473
2005-05-20,21.0464
2005-05-21,21.0464
2005-05-22,21.0464
2005-05-23,21.0464
2005-05-24,21.0689
2005-05-25,21.1356
2005-05-26,21.2336
2005-05-27,21.3182
2005-05-28,21.3182
2005-05-29,21.3182
2005-05-30,21.4823
2005-05-31,21.618
2005-06-01,21.6479
2005-06-02,21.6868
2005-06-03,21.7096
2005-06-04,21.7096
2005-06-05,21.7096
2005-06-06,21.8183
2005-06-07,21.9297
2005-06-08,22.0311
2005-06-09,22.2272
2005-06-10,22.507
2005-06-11,22.507
2005-06-12,22.507
2005-06-13,22.7646
2005-06-14,23.0225
2005-06-15,23.2967
2005-06-16,23.4875
2005-06-17,23.7171
2005-06-18,23.7171
2005-06-19,23.7171
2005-06-20,23.8534
2005-06-21,24.1376
2005-06-22,24.2751
2005-06-23,24.4939
2005-06-24,24.5764
2005-06-25,24.5764
2005-06-26,24.5764
2005-06-27,24.6839
2005-06-28,24.8176
2005-06-29,24.8624
2005-06-30,24.973
2005-07-01,24.973
2005-07-02,24.973
2005-07-03,24.973
2005-07-04,25.143
2005-07-05,25.2287
2005-07-06,25.4647
2005-07-07,25.5592
2005-07-08,25.6742
2005-07-09,25.6742
2005-07-10,25.6742
2005-07-11,25.7665
2005-07-12,25.9815
2005-07-13,26.0987
2005-07-14,26.1447
2005-07-15,26.0101
2005-07-16,26.0101
2005-07-17,26.0101
2005-07-18,25.9359
2005-07-19,25.8953
2005-07-20,25.8666
