date,value
2005-01-17,12.8089
2005-01-18,12.9145
2005-01-19,12.9607
2005-01-20,12.9589
2005-01-21,12.9115
2005-01-22,12.9115
2005-01-23,12.9115
2005-01-24,12.8929
2005-01-25,12.9
2005-01-26,12.8714
2005-01-27,12.84
2005-01-28,12.8045
2005-01-29,12.8045
2005-01-30,12.8045
2005-01-31,12.7302
2005-02-01,12.7009
2005-02-02,12.7573
2005-02-03,12.8211
2005-02-04,12.8791
2005-02-05,12.8791
2005-02-06,12.8791
2005-02-07,12.9604
2005-02-08,12.9885
2005-02-09,13.004
2005-02-10,13.0856
2005-02-11,13.244
2005-02-12,13.244
2005-02-13,13.244
2005-02-14,13.4975
2005-02-15,13.6866
2005-02-16,13.8849
2005-02-17,14.0844
2005-02-18,14.1776
2005-02-19,14.1776
2005-02-20,14.1776
2005-02-21,14.274
2005-02-22,14.3919
2005-02-23,14.4934
2005-02-24,14.6259
2005-02-25,14.7273
2005-02-26,14.7273
2005-02-27,14.7273
2005-02-28,14.8631
2005-03-01,14.9031
2005-03-02,14.8641
2005-03-03,14.9183
2005-03-04,15.0137
2005-03-05,15.0137
2005-03-06,15.0137
2005-03-07,15.0694
2005-03-08,15.119
2005-03-09,15.1894
2005-03-10,15.1528
2005-03-11,15.0402
2005-03-12,15.0402
2005-03-13,15.0402
2005-03-14,15.005
2005-03-15,14.9922
2005-03-16,14.9306
2005-03-17,14.952
2005-03-18,15.027
2005-03-19,15.027
2005-03-20,15.027
2005-03-21,15.0957
2005-03-22,15.1451
2005-03-23,15.162
2005-03-24,15.1338
2005-03-25,15.1338
2005-03-26,15.1338
2005-03-27,15.1338
2005-03-28,15.0551
2005-03-29,14.9919
2005-03-30,14.9074
2005-03-31,14.9129
2005-04-01,15.0438
2005-04-02,15.0438
2005-04-03,15.0438
2005-04-04,15.2427
2005-04-05,15.3067
2005-04-06,15.2942
2005-04-07,15.3953
2005-04-08,15.3925
2005-04-09,15.3925
2005-04-10,15.3925
2005-04-11,15.3868
2005-04-12,15.4085
2005-04-13,15.3568
2005-04-14,15.2634
2005-04-15,15.1152
2005-04-16,15.1152
2005-04-17,15.1152
2005-04-18,14.9142
2005-04-19,14.8294
2005-04-20,14.8549
2005-04-21,14.7775
2005-04-22,14.8049
2005-04-23,14.8049
2005-04-24,14.8049
2005-04-25,14.8348
2005-04-26,14.8306
2005-04-27,14.8042
2005-04-28,14.7389
2005-04-29,14.728
2005-04-30,14.728
2005-05-01,14.728
2005-05-02,14.7041
2005-05-03,14.7868
2005-05-04,14.8481
2005-05-05,14.9276
2005-05-06,15.0701
2005-05-07,15.0701
2005-05-08,15.0701
2005-05-09,15.1638
2005-05-10,15.2318
2005-05-11,15.2335
2005-05-12,15.2056
2005-05-13,15.1282
2005-05-14,15.1282
2005-05-15,15.1282
2005-05-16,15.0258
2005-05-17,14.9455
2005-05-18,14.9389
2005-05-19,14.8675
2005-05-20,14.8573
2005-05-21,14.8573
2005-05-22,14.8573
2005-05-23,14.8573
2005-05-24,14.8266
2005-05-25,14.8227
2005-05-26,14.8838
2005-05-27,14.9769
2005-05-28,14.9769
2005-05-29,14.9769
2005-05-30,15.0846
2005-05-31,15.19
2005-06-01,15.259
2005-06-02,15.3419
2005-06-03,15.4477
2005-06-04,15.4477
2005-06-05,15.4477
2005-06-06,15.5308
2005-06-07,15.6091
2005-06-08,15.6542
2005-06-09,15.7699
2005-06-10,15.9324
2005-06-11,15.9324
2005-06-12,15.9324
2005-06-13,16.1314
2005-06-14,16.3598
2005-06-15,16.5709
2005-06-16,16.7953
2005-06-17,17.076
2005-06-18,17.076
2005-06-19,17.076
2005-06-20,17.3218
2005-06-21,17.5097
2005-06-22,17.6226
2005-06-23,17.7277
2005-06-24,17.8113
2005-06-25,17.8113
2005-06-26,17.8113
2005-06-27,17.8998
2005-06-28,18.066
2005-06-29,18.1272
2005-06-30,18.1681
2005-07-01,18.1681
2005-07-02,18.1681
2005-07-03,18.1681
2005-07-04,18.3142
2005-07-05,18.4551
2005-07-06,18.7071
2005-07-07,18.8277
2005-07-08,19.0011
2005-07-09,19.0011
2005-07-10,19.0011
2005-07-11,19.0992
2005-07-12,19.2514
2005-07-13,19.3903
2005-07-14,19.4349
2005-07-15,19.3536
2005-07-16,19.3536
2005-07-17,19.3536
2005-07-18,19.2566
2005-07-19,19.1318
2005-07-20,19.1027
2005-07-21,19.0214
2005-07-22,18.9348
2005-07-23,18.9348
2005-07-24,18.9348
2005-07-25,18.9323
2005-07-26,18.9545
2005-07-27,18.8829
2005-07-28,18.9732
2005-07-29,19.0304
2005-07-30,19.0304
2005-07-31,19.0304
2005-08-01,19.0304
2005-08-02,19.0859
2005-08-03,19.2664
2005-08-04,19.3853
2005-08-05,19.7321
2005-08-06,19.7321
2005-08-07,19.7321
2005-08-08,19.9819
2005-08-09,20.2714
2005-08-10,20.4881
2005-08-11,20.8046
2005-08-12,21.075
2005-08-13,21.075
2005-08-14,21.075
2005-08-15,21.2163
2005-08-16,21.2687
2005-08-17,21.1817
2005-08-18,20.9984
2005-08-19,20.995
2005-08-20,20.995
2005-08-21,20.995
2005-08-22,21.1106
2005-08-23,21.2047
2005-08-24,21.2724
2005-08-25,21.3169
2005-08-26,21.3505
2005-08-27,21.3505
2005-08-28,21.3505
2005-08-29,21.4354
2005-08-30,21.4854
2005-08-31,21.5636
2005-09-01,21.691
2005-09-02,21.9039
2005-09-03,21.9039
2005-09-04,21.9039
2005-09-05,21.9039
2005-09-06,21.8917
2005-09-07,21.8725
2005-09-08,21.9379
2005-09-09,21.9213
2005-09-10,21.9213
2005-09-11,21.9213
2005-09-12,21.994
2005-09-13,22.0229
2005-09-14,22.004
2005-09-15,22.1088
2005-09-16,22.1296
2005-09-17,22.1296
2005-09-18,22.1296
2005-09-19,22.2374
2005-09-20,22.3545
2005-09-21,22.4445
2005-09-22,22.4347
2005-09-23,22.2397
2005-09-24,22.2397
2005-09-25,22.2397
2005-09-26,22.0139
2005-09-27,22.0047
2005-09-28,22.0128
2005-09-29,22.1275
2005-09-30,22.1523
2005-10-01,22.1523
2005-10-02,22.1523
2005-10-03,22.1818
2005-10-04,22.1191
2005-10-05,21.9492
2005-10-06,21.4293
2005-10-07,20.9913
2005-10-08,20.9913
2005-10-09,20.9913
2005-10-10,20.9913
2005-10-11,20.7808
2005-10-12,20.6477
2005-10-13,20.346
2005-10-14,19.9807
2005-10-15,19.9807
2005-10-16,19.9807
2005-10-17,19.9936
2005-10-18,19.9461
2005-10-19,19.772
2005-10-20,19.7066
2005-10-21,19.4782
2005-10-22,19.4782
2005-10-23,19.4782
2005-10-24,19.3144
2005-10-25,19.3415
2005-10-26,19.3751
2005-10-27,19.371
2005-10-28,19.4113
2005-10-29,19.4113
2005-10-30,19.4113
2005-10-31,19.5071
2005-11-01,19.5912
2005-11-02,19.6542
2005-11-03,19.8658
2005-11-04,20.1234
2005-11-05,20.1234
2005-11-06,20.1234
2005-11-07,20.2922
2005-11-08,20.3326
2005-11-09,20.3995
2005-11-10,20.4185
2005-11-11,20.269
2005-11-12,20.269
2005-11-13,20.269
2005-11-14,20.252
2005-11-15,20.1805
2005-11-16,20.1853
2005-11-17,20.3227
2005-11-18,20.369
2005-11-19,20.369
2005-11-20,20.369
2005-11-21,20.431
2005-11-22,20.5744
2005-11-23,20.7107
2005-11-24,20.8147
2005-11-25,20.943
2005-11-26,20.943
2005-11-27,20.943
2005-11-28,21.0768
2005-11-29,21.0602
2005-11-30,21.0144
2005-12-01,21.0264
2005-12-02,21.1674
2005-12-03,21.1674
2005-12-04,21.1674
2005-12-05,21.2862
2005-12-06,21.4116
2005-12-07,21.665
2005-12-08,21.9288
2005-12-09,22.2316
2005-12-10,22.2316
2005-12-11,22.2316
2005-12-12,22.4689
2005-12-13,22.6683
2005-12-14,22.8712
2005-12-15,23.0464
2005-12-16,23.1782
2005-12-17,23.1782
2005-12-18,23.1782
2005-12-19,23.24
2005-12-20,23.2744
2005-12-21,23.3158
2005-12-22,23.3612
2005-12-23,23.3627
2005-12-24,23.3627
2005-12-25,23.3627
2005-12-26,23.3627
2005-12-27,23.3627
2005-12-28,23.2314
2005-12-29,23.2392
2005-12-30,23.2467
2005-12-31,23.2467
2006-01-01,23.2467
2006-01-02,23.2467
2006-01-03,23.2816
2006-01-04,23.3966
2006-01-05,23.5166
2006-01-06,23.6176
2006-01-07,23.6176
2006-01-08,23.6176
2006-01-09,23.7878
2006-01-10,23.8937
2006-01-11,24.0241
2006-01-12,24.1636
2006-01-13,24.1556
2006-01-14,24.1556
2006-01-15,24.1556
2006-01-16,24.296
2006-01-17,24.4857
2006-01-18,24.6789
2006-01-19,24.8415
2006-01-20,25.0737
2006-01-21,25.0737
2006-01-22,25.0737
2006-01-23,25.3374
2006-01-24,25.6948
2006-01-25,25.9642
2006-01-26,26.1817
2006-01-27,26.5468
2006-01-28,26.5468
2006-01-29,26.5468
2006-01-30,26.9095
2006-01-31,27.1832
2006-02-01,27.4849
2006-02-02,27.6989
2006-02-03,27.8458
2006-02-04,27.8458
2006-02-05,27.8458
2006-02-06,28.0178
2006-02-07,28.1268
2006-02-08,28.0174
2006-02-09,28.0689
2006-02-10,27.921
2006-02-11,27.921
2006-02-12,27.921
2006-02-13,27.648
2006-02-14,27.3405
2006-02-15,27.2214
2006-02-16,27.0456
2006-02-17,27.1212
2006-02-18,27.1212
2006-02-19,27.1212
2006-02-20,27.1998
2006-02-21,27.3228
2006-02-22,27.3693
2006-02-23,27.3227
2006-02-24,27.3998
2006-02-25,27.3998
2006-02-26,27.3998
2006-02-27,27.4144
2006-02-28,27.3262
2006-03-01,27.2656
2006-03-02,27.352
2006-03-03,27.4792
2006-03-04,27.4792
2006-03-05,27.4792
2006-03-06,27.5544
2006-03-07,27.5007
2006-03-08,27.3478
2006-03-09,27.1184
2006-03-10,26.9711
2006-03-11,26.9711
2006-03-12,26.9711
2006-03-13,26.9721
2006-03-14,27.0819
2006-03-15,27.1654
2006-03-16,27.27
2006-03-17,27.4006
2006-03-18,27.4006
2006-03-19,27.4006
2006-03-20,27.3408
2006-03-21,27.1674
2006-03-22,27.1622
2006-03-23,27.246
2006-03-24,27.3625
2006-03-25,27.3625
2006-03-26,27.3625
2006-03-27,27.4255
2006-03-28,27.5336
2006-03-29,27.6104
2006-03-30,27.7886
2006-03-31,27.9084
2006-04-01,27.9084
2006-04-02,27.9084
2006-04-03,28.0715
2006-04-04,28.2702
2006-04-05,28.4436
2006-04-06,28.8045
2006-04-07,28.9644
2006-04-08,28.9644
2006-04-09,28.9644
2006-04-10,29.1759
2006-04-11,29.41
2006-04-12,29.4914
2006-04-13,29.5748
2006-04-14,29.5748
2006-04-15,29.5748
2006-04-16,29.5748
2006-04-17,29.7445
2006-04-18,30.0193
2006-04-19,30.3461
2006-04-20,30.6072
2006-04-21,30.739
2006-04-22,30.739
2006-04-23,30.739
2006-04-24,30.9303
2006-04-25,31.0374
2006-04-26,31.0419
2006-04-27,30.8008
2006-04-28,30.6979
2006-04-29,30.6979
2006-04-30,30.6979
2006-05-01,30.7193
2006-05-02,30.7725
2006-05-03,30.869
2006-05-04,30.8034
2006-05-05,30.8153
2006-05-06,30.8153
2006-05-07,30.8153
2006-05-08,30.6874
2006-05-09,30.5712
2006-05-10,30.5775
2006-05-11,30.6346
2006-05-12,30.6179
2006-05-13,30.6179
2006-05-14,30.6179
2006-05-15,30.3236
2006-05-16,29.9358
2006-05-17,29.6254
2006-05-18,29.239
2006-05-19,28.8185
2006-05-20,28.8185
2006-05-21,28.8185
2006-05-22,28.8185
2006-05-23,28.5781
2006-05-24,28.3412
2006-05-25,28.1732
2006-05-26,28.1828
2006-05-27,28.1828
2006-05-28,28.1828
2006-05-29,28.205
2006-05-30,28.3125
2006-05-31,28.1878
2006-06-01,28.0956
2006-06-02,28.2105
2006-06-03,28.2105
2006-06-04,28.2105
2006-06-05,28.3881
2006-06-06,28.3604
2006-06-07,28.2634
2006-06-08,27.884
2006-06-09,27.6716
2006-06-10,27.6716
2006-06-11,27.6716
2006-06-12,27.4656
2006-06-13,26.9717
2006-06-14,26.4949
2006-06-15,26.3627
2006-06-16,26.2821
2006-06-17,26.2821
2006-06-18,26.2821
2006-06-19,26.1655
2006-06-20,25.8901
2006-06-21,25.5465
2006-06-22,25.4298
2006-06-23,25.4728
2006-06-24,25.4728
2006-06-25,25.4728
2006-06-26,25.6192
2006-06-27,25.8786
2006-06-28,26.0597
2006-06-29,26.3689
2006-06-30,26.7625
2006-07-01,26.7625
2006-07-02,26.7625
2006-07-03,26.7625
2006-07-04,27.189
2006-07-05,27.5616
2006-07-06,27.8867
2006-07-07,28.1624
2006-07-08,28.1624
2006-07-09,28.1624
2006-07-10,28.1677
2006-07-11,28.1674
2006-07-12,28.2744
2006-07-13,28.3827
2006-07-14,28.4276
2006-07-15,28.4276
2006-07-16,28.4276
2006-07-17,28.4359
2006-07-18,28.4284
2006-07-19,28.2538
2006-07-20,28.2857
2006-07-21,28.3228
2006-07-22,28.3228
2006-07-23,28.3228
2006-07-24,28.2885
2006-07-25,28.4664
2006-07-26,28.586
2006-07-27,28.753
2006-07-28,28.7715
2006-07-29,28.7715
2006-07-30,28.7715
2006-07-31,28.7825
2006-08-01,28.8596
2006-08-02,29.0375
2006-08-03,29.1144
2006-08-04,29.2367
2006-08-05,29.2367
2006-08-06,29.2367
2006-08-07,29.2367
2006-08-08,29.3869
2006-08-09,29.5445
2006-08-10,29.6538
2006-08-11,29.7646
2006-08-12,29.7646
2006-08-13,29.7646
2006-08-14,29.7543
2006-08-15,29.6679
2006-08-16,29.6083
2006-08-17,29.3933
