date,value
2005-01-04,9636156.0
2005-01-05,-1824164.0
2005-01-06,6546420.0
2005-01-07,11441232.0
2005-01-08,11441232.0
2005-01-09,11441232.0
2005-01-10,6033952.0
2005-01-11,45164.0
2005-01-12,5983992.0
2005-01-13,12500188.0
2005-01-14,19451492.0
2005-01-15,19451492.0
2005-01-16,19451492.0
2005-01-17,20646256.0
2005-01-18,30119464.0
2005-01-19,25360360.0
2005-01-20,28071668.0
2005-01-21,15434356.0
2005-01-22,15434356.0
2005-01-23,15434356.0
2005-01-24,21883996.0
2005-01-25,10203008.0
2005-01-26,-1865884.0
2005-01-27,-1865884.0
2005-01-28,-10358392.0
2005-01-29,-10358392.0
2005-01-30,-10358392.0
2005-01-31,-2540476.0
2005-02-01,12872748.0
2005-02-02,21505356.0
2005-02-03,16863864.0
2005-02-04,20894696.0
2005-02-05,20894696.0
2005-02-06,20894696.0
2005-02-07,16641016.0
2005-02-08,11353100.0
2005-02-09,18280588.0
2005-02-10,27508136.0
2005-02-11,39949088.0
2005-02-12,39949088.0
2005-02-13,39949088.0
2005-02-14,34320180.0
2005-02-15,40534720.0
2005-02-16,47656304.0
2005-02-17,43138952.0
2005-02-18,47415048.0
2005-02-19,47415048.0
2005-02-20,47415048.0
2005-02-21,48190712.0
2005-02-22,53258064.0
2005-02-23,57086372.0
2005-02-24,51638048.0
2005-02-25,57852468.0
2005-02-26,57852468.0
2005-02-27,57852468.0
2005-02-28,51993512.0
2005-03-01,43761232.0
2005-03-02,49774712.0
2005-03-03,55705860.0
2005-03-04,62950768.0
2005-03-05,62950768.0
2005-03-06,62950768.0
2005-03-07,55756884.0
2005-03-08,59764536.0
2005-03-09,53184540.0
2005-03-10,45505056.0
2005-03-11,48840536.0
2005-03-12,48840536.0
2005-03-13,48840536.0
2005-03-14,53823800.0
2005-03-15,45708980.0
2005-03-16,53533536.0
2005-03-17,60904180.0
2005-03-18,69818848.0
2005-03-19,69818848.0
2005-03-20,69818848.0
2005-03-21,72854096.0
2005-03-22,65639908.0
2005-03-23,55759988.0
2005-03-24,44851820.0
2005-03-25,44851820.0
2005-03-26,44851820.0
2005-03-27,44851820.0
2005-03-28,41536900.0
2005-03-29,32609196.0
2005-03-30,26283284.0
2005-03-31,35558856.0
2005-04-01,47479868.0
2005-04-02,47479868.0
2005-04-03,47479868.0
2005-04-04,40199720.0
2005-04-05,28986288.0
2005-04-06,38427220.0
2005-04-07,28699996.0
2005-04-08,23404928.0
2005-04-09,23404928.0
2005-04-10,23404928.0
2005-04-11,27983996.0
2005-04-12,19824700.0
2005-04-13,7862980.0
2005-04-14,784072.0
2005-04-15,-8585464.0
2005-04-16,-8585464.0
2005-04-17,-8585464.0
2005-04-18,-2621792.0
2005-04-19,2201724.0
2005-04-20,-3201160.0
2005-04-21,3057084.0
2005-04-22,-1778716.0
2005-04-23,-1778716.0
2005-04-24,-1778716.0
2005-04-25,2320980.0
2005-04-26,-2157692.0
2005-04-27,-8463812.0
2005-04-28,-14301716.0
2005-04-29,-6511884.0
2005-04-30,-6511884.0
2005-05-01,-6511884.0
2005-05-02,-101132.0
2005-05-03,-7592308.0
2005-05-04,1083220.0
2005-05-05,8042708.0
2005-05-06,2489808.0
2005-05-07,2489808.0
2005-05-08,2489808.0
2005-05-09,6639708.0
2005-05-10,2489632.0
2005-05-11,-3880880.0
2005-05-12,-13139664.0
2005-05-13,-19908356.0
2005-05-14,-19908356.0
2005-05-15,-19908356.0
2005-05-16,-11536960.0
2005-05-17,-5096224.0
2005-05-18,-14075900.0
2005-05-19,-7469836.0
2005-05-20,-11097212.0
2005-05-21,-11097212.0
2005-05-22,-11097212.0
2005-05-23,-11097212.0
2005-05-24,-6268536.0
2005-05-25,-424548.0
2005-05-26,3536532.0
2005-05-27,8278028.0
2005-05-28,8278028.0
2005-05-29,8278028.0
2005-05-30,10347080.0
2005-05-31,3749004.0
2005-06-01,11127596.0
2005-06-02,15571596.0
2005-06-03,11436936.0
2005-06-04,11436936.0
2005-06-05,11436936.0
2005-06-06,14783244.0
2005-06-07,11818956.0
2005-06-08,16226140.0
2005-06-09,22783912.0
2005-06-10,29691164.0
2005-06-11,29691164.0
2005-06-12,29691164.0
2005-06-13,34122912.0
2005-06-14,29308504.0
2005-06-15,33783328.0
2005-06-16,38973596.0
2005-06-17,52160744.0
2005-06-18,52160744.0
2005-06-19,52160744.0
2005-06-20,59499868.0
2005-06-21,54405108.0
2005-06-22,60319696.0
2005-06-23,66266892.0
2005-06-24,63155840.0
2005-06-25,63155840.0
2005-06-26,63155840.0
2005-06-27,71665416.0
2005-06-28,64113656.0
2005-06-29,56288756.0
2005-06-30,50229800.0
2005-07-01,50229800.0
2005-07-02,50229800.0
2005-07-03,50229800.0
2005-07-04,53334520.0
2005-07-05,62151772.0
