date,value
2005-01-17,10.6669
2005-01-18,10.6483
2005-01-19,10.6232
2005-01-20,10.6043
2005-01-21,10.6043
2005-01-22,10.6043
2005-01-23,10.6043
2005-01-24,10.6022
2005-01-25,10.6087
2005-01-26,10.6254
2005-01-27,10.647
2005-01-28,10.6764
2005-01-29,10.6764
2005-01-30,10.6764
2005-01-31,10.691
2005-02-01,10.7011
2005-02-02,10.709
2005-02-03,10.7271
2005-02-04,10.7372
2005-02-05,10.7372
2005-02-06,10.7372
2005-02-07,10.7492
2005-02-08,10.7803
2005-02-09,10.8156
2005-02-10,10.8519
2005-02-11,10.8968
2005-02-12,10.8968
2005-02-13,10.8968
2005-02-14,10.9659
2005-02-15,11.0314
2005-02-16,11.076
2005-02-17,11.1196
2005-02-18,11.1607
2005-02-19,11.1607
2005-02-20,11.1607
2005-02-21,11.2139
2005-02-22,11.245
2005-02-23,11.252
2005-02-24,11.2483
2005-02-25,11.2369
2005-02-26,11.2369
2005-02-27,11.2369
2005-02-28,11.2354
2005-03-01,11.2546
2005-03-02,11.3157
2005-03-03,11.4015
2005-03-04,11.4926
2005-03-05,11.4926
2005-03-06,11.4926
2005-03-07,11.5538
2005-03-08,11.6112
2005-03-09,11.685
2005-03-10,11.7543
2005-03-11,11.827
2005-03-12,11.827
2005-03-13,11.827
2005-03-14,11.857
2005-03-15,11.8898
2005-03-16,11.9211
2005-03-17,11.9251
2005-03-18,11.9163
2005-03-19,11.9163
2005-03-20,11.9163
2005-03-21,11.9194
2005-03-22,11.9155
2005-03-23,11.8796
2005-03-24,11.8468
2005-03-25,11.8468
2005-03-26,11.8468
2005-03-27,11.8468
2005-03-28,11.7968
2005-03-29,11.7617
2005-03-30,11.7087
2005-03-31,11.6623
2005-04-01,11.6159
2005-04-02,11.6159
2005-04-03,11.6159
2005-04-04,11.5682
2005-04-05,11.5338
2005-04-06,11.5109
2005-04-07,11.5065
2005-04-08,11.5087
2005-04-09,11.5087
2005-04-10,11.5087
2005-04-11,11.5128
2005-04-12,11.5398
2005-04-13,11.5819
2005-04-14,11.6053
2005-04-15,11.6128
2005-04-16,11.6128
2005-04-17,11.6128
2005-04-18,11.6183
2005-04-19,11.6227
2005-04-20,11.6183
2005-04-21,11.6192
2005-04-22,11.6148
2005-04-23,11.6148
2005-04-24,11.6148
2005-04-25,11.6139
2005-04-26,11.5898
2005-04-27,11.5579
2005-04-28,11.5268
2005-04-29,11.5181
2005-04-30,11.5181
2005-05-01,11.5181
2005-05-02,11.5259
2005-05-03,11.5356
2005-05-04,11.5376
2005-05-05,11.54
2005-05-06,11.5464
2005-05-07,11.5464
2005-05-08,11.5464
2005-05-09,11.5548
2005-05-10,11.5755
2005-05-11,11.5876
2005-05-12,11.6009
2005-05-13,11.596
2005-05-14,11.596
2005-05-15,11.596
2005-05-16,11.5848
2005-05-17,11.5673
2005-05-18,11.5541
2005-05-19,11.5428
2005-05-20,11.5312
2005-05-21,11.5312
2005-05-22,11.5312
2005-05-23,11.5312
2005-05-24,11.5239
2005-05-25,11.517
2005-05-26,11.4948
2005-05-27,11.4901
2005-05-28,11.4901
2005-05-29,11.4901
2005-05-30,11.5023
2005-05-31,11.5111
2005-06-01,11.5309
2005-06-02,11.5629
2005-06-03,11.5929
2005-06-04,11.5929
2005-06-05,11.5929
2005-06-06,11.6258
2005-06-07,11.6708
2005-06-08,11.7088
2005-06-09,11.763
2005-06-10,11.8085
2005-06-11,11.8085
2005-06-12,11.8085
2005-06-13,11.8413
2005-06-14,11.8746
2005-06-15,11.8967
2005-06-16,11.9088
