date,value
2005-02-10,12.4365
2005-02-11,11.56
2005-02-12,11.56
2005-02-13,11.56
2005-02-14,11.2101
2005-02-15,10.6621
2005-02-16,10.4505
2005-02-17,10.254
2005-02-18,9.7046
2005-02-19,9.7046
2005-02-20,9.7046
2005-02-21,9.254
2005-02-22,9.1445
2005-02-23,8.8418
2005-02-24,8.2388
2005-02-25,7.7444
2005-02-26,7.7444
2005-02-27,7.7444
2005-02-28,8.8633
2005-03-01,8.8302
2005-03-02,8.8841
2005-03-03,8.3062
2005-03-04,7.8291
2005-03-05,7.8291
2005-03-06,7.8291
2005-03-07,7.4991
2005-03-08,7.6993
2005-03-09,8.3025
2005-03-10,8.8625
2005-03-11,10.0409
2005-03-12,10.0409
2005-03-13,10.0409
2005-03-14,10.7978
2005-03-15,11.5858
2005-03-16,13.0467
2005-03-17,14.5681
2005-03-18,16.0768
2005-03-19,16.0768
2005-03-20,16.0768
2005-03-21,17.6009
2005-03-22,19.0928
2005-03-23,20.1273
2005-03-24,21.0878
2005-03-25,21.0878
2005-03-26,21.0878
2005-03-27,21.0878
2005-03-28,22.075
2005-03-29,23.1219
2005-03-30,24.1615
2005-03-31,25.7154
2005-04-01,27.1576
2005-04-02,27.1576
2005-04-03,27.1576
2005-04-04,28.9146
2005-04-05,30.6987
2005-04-06,31.3962
2005-04-07,31.2477
2005-04-08,31.1092
2005-04-09,31.1092
2005-04-10,31.1092
2005-04-11,31.8837
2005-04-12,33.1376
2005-04-13,33.7402
2005-04-14,33.5066
2005-04-15,33.4907
2005-04-16,33.4907
2005-04-17,33.4907
2005-04-18,32.713
2005-04-19,31.5709
2005-04-20,30.5965
2005-04-21,29.6917
2005-04-22,29.2653
2005-04-23,29.2653
2005-04-24,29.2653
2005-04-25,28.5824
2005-04-26,27.4507
2005-04-27,26.6672
2005-04-28,25.5031
2005-04-29,25.5178
2005-04-30,25.5178
2005-05-01,25.5178
2005-05-02,25.5315
2005-05-03,25.2325
2005-05-04,24.2803
2005-05-05,23.2487
2005-05-06,22.2817
2005-05-07,22.2817
2005-05-08,22.2817
2005-05-09,21.3838
2005-05-10,22.4942
2005-05-11,24.5368
2005-05-12,26.8347
2005-05-13,27.8887
2005-05-14,27.8887
2005-05-15,27.8887
2005-05-16,28.8674
2005-05-17,30.5226
2005-05-18,32.0595
2005-05-19,33.0768
2005-05-20,33.2879
2005-05-21,33.2879
2005-05-22,33.2879
2005-05-23,33.2879
2005-05-24,33.1553
2005-05-25,33.1199
2005-05-26,33.0871
2005-05-27,33.2169
2005-05-28,33.2169
2005-05-29,33.2169
2005-05-30,32.7528
2005-05-31,32.6092
2005-06-01,33.2991
2005-06-02,34.3132
2005-06-03,33.8845
2005-06-04,33.8845
2005-06-05,33.8845
2005-06-06,32.814
2005-06-07,30.9412
2005-06-08,29.2674
2005-06-09,28.6199
2005-06-10,28.0186
2005-06-11,28.0186
2005-06-12,28.0186
2005-06-13,27.854
2005-06-14,26.4179
2005-06-15,25.5842
2005-06-16,24.81
2005-06-17,24.2219
2005-06-18,24.2219
2005-06-19,24.2219
2005-06-20,23.3075
2005-06-21,22.4585
2005-06-22,21.8278
2005-06-23,21.5956
2005-06-24,21.8225
2005-06-25,21.8225
2005-06-26,21.8225
2005-06-27,21.359
2005-06-28,21.24
2005-06-29,21.5019
2005-06-30,20.1997
2005-07-01,20.1997
2005-07-02,20.1997
2005-07-03,20.1997
2005-07-04,18.9447
2005-07-05,18.1085
2005-07-06,17.0165
2005-07-07,16.256
2005-07-08,16.0385
2005-07-09,16.0385
2005-07-10,16.0385
2005-07-11,16.0712
2005-07-12,16.1009
2005-07-13,15.6153
2005-07-14,15.1644
2005-07-15,15.2656
2005-07-16,15.2656
2005-07-17,15.2656
2005-07-18,15.9891
2005-07-19,17.6218
2005-07-20,19.5367
2005-07-21,20.0665
2005-07-22,20.0799
2005-07-23,20.0799
