date,value
2005-02-10,49.3389
2005-02-11,50.2233
2005-02-12,50.2233
2005-02-13,50.2233
2005-02-14,51.0446
2005-02-15,50.8974
2005-02-16,50.9354
2005-02-17,50.9708
2005-02-18,50.3707
2005-02-19,50.3707
2005-02-20,50.3707
2005-02-21,49.8135
2005-02-22,50.0981
2005-02-23,50.7118
2005-02-24,51.4127
2005-02-25,52.3889
2005-02-26,52.3889
2005-02-27,52.3889
2005-02-28,53.346
2005-03-01,54.2798
2005-03-02,54.9627
2005-03-03,56.0028
2005-03-04,57.2739
2005-03-05,57.2739
2005-03-06,57.2739
2005-03-07,57.6942
2005-03-08,56.8583
2005-03-09,55.8366
2005-03-10,52.3636
2005-03-11,49.1386
2005-03-12,49.1386
2005-03-13,49.1386
2005-03-14,45.6477
2005-03-15,43.1541
2005-03-16,40.9417
2005-03-17,39.5203
2005-03-18,38.9005
2005-03-19,38.9005
2005-03-20,38.9005
2005-03-21,37.811
2005-03-22,36.7993
2005-03-23,34.3311
2005-03-24,32.0393
2005-03-25,32.0393
2005-03-26,32.0393
2005-03-27,32.0393
2005-03-28,30.3442
2005-03-29,28.7437
2005-03-30,27.2953
2005-03-31,26.6069
2005-04-01,27.212
2005-04-02,27.212
2005-04-03,27.212
2005-04-04,27.9556
2005-04-05,28.3935
2005-04-06,28.2397
2005-04-07,28.82
2005-04-08,28.9532
2005-04-09,28.9532
2005-04-10,28.9532
2005-04-11,28.5998
2005-04-12,27.747
2005-04-13,26.1068
2005-04-14,24.5838
2005-04-15,22.9814
2005-04-16,22.9814
2005-04-17,22.9814
2005-04-18,21.688
2005-04-19,20.7531
2005-04-20,20.4994
2005-04-21,19.7371
2005-04-22,18.9899
2005-04-23,18.9899
2005-04-24,18.9899
2005-04-25,18.4243
2005-04-26,17.9438
2005-04-27,16.781
2005-04-28,16.7561
2005-04-29,17.315
2005-04-30,17.315
2005-05-01,17.315
2005-05-02,17.834
2005-05-03,18.6141
2005-05-04,19.23
2005-05-05,19.7347
2005-05-06,19.7325
2005-05-07,19.7325
2005-05-08,19.7325
2005-05-09,20.3176
2005-05-10,20.8465
2005-05-11,21.6304
2005-05-12,23.3517
2005-05-13,24.9501
2005-05-14,24.9501
2005-05-15,24.9501
2005-05-16,26.7326
2005-05-17,26.8654
2005-05-18,26.5126
2005-05-19,26.1849
2005-05-20,25.7499
2005-05-21,25.7499
2005-05-22,25.7499
2005-05-23,25.7499
2005-05-24,24.8965
2005-05-25,23.3201
2005-05-26,21.675
2005-05-27,21.1043
2005-05-28,21.1043
2005-05-29,21.1043
2005-05-30,21.0643
2005-05-31,19.8953
2005-06-01,18.8099
2005-06-02,17.5375
2005-06-03,16.3936
2005-06-04,16.3936
2005-06-05,16.3936
2005-06-06,15.883
2005-06-07,15.6953
2005-06-08,16.5662
2005-06-09,18.3287
2005-06-10,20.1012
2005-06-11,20.1012
2005-06-12,20.1012
2005-06-13,22.0597
2005-06-14,24.0086
2005-06-15,25.998
2005-06-16,27.8454
2005-06-17,29.9202
2005-06-18,29.9202
2005-06-19,29.9202
2005-06-20,32.34
2005-06-21,34.5869
2005-06-22,36.6734
2005-06-23,38.9082
2005-06-24,40.9833
2005-06-25,40.9833
2005-06-26,40.9833
2005-06-27,43.2219
2005-06-28,45.3384
2005-06-29,46.6621
2005-06-30,47.8912
2005-07-01,47.8912
2005-07-02,47.8912
2005-07-03,47.8912
2005-07-04,49.3082
2005-07-05,51.1087
2005-07-06,52.8113
2005-07-07,53.3845
2005-07-08,54.1856
2005-07-09,54.1856
2005-07-10,54.1856
2005-07-11,53.75
2005-07-12,53.489
2005-07-13,52.5435
2005-07-14,48.7908
