date,value
2005-02-10,19.9574
2005-02-11,22.6825
2005-02-12,22.6825
2005-02-13,22.6825
2005-02-14,25.213
2005-02-15,25.2944
2005-02-16,25.158
2005-02-17,25.1663
2005-02-18,25.174
2005-02-19,25.174
2005-02-20,25.174
2005-02-21,25.9811
2005-02-22,26.5634
2005-02-23,26.6814
2005-02-24,26.9446
2005-02-25,28.7136
2005-02-26,28.7136
2005-02-27,28.7136
2005-02-28,30.413
2005-03-01,32.261
2005-03-02,34.7044
2005-03-03,37.1351
2005-03-04,38.3594
2005-03-05,38.3594
2005-03-06,38.3594
2005-03-07,38.8994
2005-03-08,38.737
2005-03-09,38.5863
2005-03-10,38.5624
2005-03-11,37.5709
2005-03-12,37.5709
2005-03-13,37.5709
2005-03-14,36.5553
2005-03-15,35.9181
2005-03-16,35.2046
2005-03-17,35.1507
2005-03-18,34.5486
2005-03-19,34.5486
2005-03-20,34.5486
2005-03-21,33.2437
2005-03-22,30.9198
2005-03-23,29.5666
2005-03-24,28.3641
2005-03-25,28.3641
2005-03-26,28.3641
2005-03-27,28.3641
2005-03-28,27.7884
2005-03-29,27.2538
2005-03-30,25.9861
2005-03-31,24.4478
2005-04-01,23.2675
2005-04-02,23.2675
2005-04-03,23.2675
2005-04-04,22.6961
2005-04-05,21.9042
2005-04-06,20.8436
2005-04-07,20.4207
2005-04-08,20.144
2005-04-09,20.144
2005-04-10,20.144
2005-04-11,19.3851
2005-04-12,18.4133
2005-04-13,17.8283
2005-04-14,16.9295
2005-04-15,16.5941
2005-04-16,16.5941
2005-04-17,16.5941
2005-04-18,16.5517
2005-04-19,16.5124
2005-04-20,16.8086
2005-04-21,17.0837
2005-04-22,17.3392
2005-04-23,17.3392
2005-04-24,17.3392
2005-04-25,18.0606
2005-04-26,18.7305
2005-04-27,19.1259
2005-04-28,18.9951
2005-04-29,18.1572
2005-04-30,18.1572
2005-05-01,18.1572
2005-05-02,17.0261
2005-05-03,16.8683
2005-05-04,16.7218
2005-05-05,16.7851
2005-05-06,15.9812
2005-05-07,15.9812
2005-05-08,15.9812
2005-05-09,15.2347
2005-05-10,14.3614
2005-05-11,14.0844
2005-05-12,14.3511
2005-05-13,15.0592
2005-05-14,15.0592
2005-05-15,15.0592
2005-05-16,15.7167
2005-05-17,16.9841
2005-05-18,18.161
