date,value
2005-01-17,10.3718
2005-01-18,-31.8091
2005-01-19,-108.3425
2005-01-20,-48.5641
2005-01-21,-52.755
2005-01-22,-52.755
2005-01-23,-52.755
2005-01-24,43.095
2005-01-25,236.954
2005-01-26,209.8625
2005-01-27,143.1592
2005-01-28,71.9172
2005-01-29,71.9172
2005-01-30,71.9172
2005-01-31,32.521
2005-02-01,-6.8272
2005-02-02,-26.0339
2005-02-03,-26.4544
2005-02-04,-45.1876
2005-02-05,-45.1876
2005-02-06,-45.1876
2005-02-07,118.6944
2005-02-08,191.6707
2005-02-09,166.76
2005-02-10,146.8283
2005-02-11,136.062
2005-02-12,136.062
2005-02-13,136.062
2005-02-14,99.2437
2005-02-15,44.8813
2005-02-16,15.9525
2005-02-17,5.8852
2005-02-18,-15.3647
2005-02-19,-15.3647
2005-02-20,-15.3647
2005-02-21,46.8374
2005-02-22,-28.8099
2005-02-23,-80.3693
2005-02-24,-55.2055
2005-02-25,147.8159
2005-02-26,147.8159
2005-02-27,147.8159
2005-02-28,190.8276
2005-03-01,164.7679
2005-03-02,172.7793
2005-03-03,144.7255
2005-03-04,90.8104
2005-03-05,90.8104
2005-03-06,90.8104
2005-03-07,51.621
2005-03-08,47.0827
2005-03-09,36.2962
2005-03-10,45.3525
2005-03-11,-29.2816
2005-03-12,-29.2816
2005-03-13,-29.2816
2005-03-14,-9.2784
2005-03-15,63.1369
2005-03-16,67.2712
2005-03-17,151.6974
2005-03-18,22.0608
2005-03-19,22.0608
2005-03-20,22.0608
2005-03-21,-80.5194
2005-03-22,-176.8631
2005-03-23,-185.5921
2005-03-24,-151.4333
2005-03-25,-151.4333
2005-03-26,-151.4333
2005-03-27,-151.4333
2005-03-28,-123.9476
2005-03-29,-99.8617
2005-03-30,-59.235
2005-03-31,-26.3772
2005-04-01,-20.3908
2005-04-02,-20.3908
2005-04-03,-20.3908
2005-04-04,-20.3862
2005-04-05,53.1079
2005-04-06,119.8792
2005-04-07,51.4119
2005-04-08,-6.1507
2005-04-09,-6.1507
2005-04-10,-6.1507
2005-04-11,91.5152
2005-04-12,229.2363
2005-04-13,196.9443
2005-04-14,76.4808
2005-04-15,-16.0234
2005-04-16,-16.0234
2005-04-17,-16.0234
2005-04-18,-48.8279
2005-04-19,-50.669
2005-04-20,-74.9537
2005-04-21,-70.0032
