date,value
2005-01-17,10.6669
2005-01-18,10.6656
2005-01-19,10.651
2005-01-20,10.6291
2005-01-21,10.6267
2005-01-22,10.6267
2005-01-23,10.6267
2005-01-24,10.6172
2005-01-25,10.6245
2005-01-26,10.6528
2005-01-27,10.6859
2005-01-28,10.7265
2005-01-29,10.7265
2005-01-30,10.7265
2005-01-31,10.7331
2005-02-01,10.738
2005-02-02,10.7246
2005-02-03,10.7223
2005-02-04,10.7213
2005-02-05,10.7213
2005-02-06,10.7213
2005-02-07,10.7165
2005-02-08,10.7623
2005-02-09,10.8296
2005-02-10,10.8966
2005-02-11,10.9805
2005-02-12,10.9805
2005-02-13,10.9805
2005-02-14,11.0666
2005-02-15,11.1299
2005-02-16,11.1264
2005-02-17,11.1303
2005-02-18,11.1299
2005-02-19,11.1299
2005-02-20,11.1299
2005-02-21,11.1475
2005-02-22,11.1714
2005-02-23,11.1771
2005-02-24,11.1741
2005-02-25,11.1869
2005-02-26,11.1869
2005-02-27,11.1869
2005-02-28,11.2327
2005-03-01,11.3008
2005-03-02,11.3773
2005-03-03,11.4916
2005-03-04,11.5911
2005-03-05,11.5911
2005-03-06,11.5911
2005-03-07,11.6362
2005-03-08,11.6756
2005-03-09,11.7237
2005-03-10,11.7475
2005-03-11,11.7881
2005-03-12,11.7881
2005-03-13,11.7881
2005-03-14,11.7792
2005-03-15,11.8076
2005-03-16,11.8489
2005-03-17,11.8846
2005-03-18,11.8967
2005-03-19,11.8967
2005-03-20,11.8967
2005-03-21,11.8918
2005-03-22,11.8776
2005-03-23,11.8238
2005-03-24,11.7697
2005-03-25,11.7697
2005-03-26,11.7697
2005-03-27,11.7697
2005-03-28,11.7155
2005-03-29,11.6559
2005-03-30,11.6103
2005-03-31,11.6031
2005-04-01,11.5992
2005-04-02,11.5992
2005-04-03,11.5992
2005-04-04,11.5763
2005-04-05,11.5673
2005-04-06,11.5703
2005-04-07,11.5643
2005-04-08,11.5615
2005-04-09,11.5615
2005-04-10,11.5615
2005-04-11,11.5527
2005-04-12,11.5716
2005-04-13,11.618
2005-04-14,11.6519
2005-04-15,11.6528
2005-04-16,11.6528
2005-04-17,11.6528
2005-04-18,11.6302
2005-04-19,11.6194
2005-04-20,11.6049
2005-04-21,11.5943
2005-04-22,11.5779
2005-04-23,11.5779
2005-04-24,11.5779
2005-04-25,11.5646
2005-04-26,11.5376
2005-04-27,11.532
