date,value
2005-01-04,70.75
2005-01-05,70.5
2005-01-06,69.5
2005-01-07,69.5
2005-01-08,69.5
2005-01-09,69.5
2005-01-10,69.69
2005-01-11,70.0
2005-01-12,70.44
2005-01-13,70.92
2005-01-14,70.96
2005-01-15,70.96
2005-01-16,70.96
2005-01-17,70.9
2005-01-18,72.95
2005-01-19,73.0
2005-01-20,71.4
2005-01-21,71.9
2005-01-22,71.9
2005-01-23,71.9
2005-01-24,72.74
2005-01-25,74.51
2005-01-26,75.12
2005-01-27,75.36
2005-01-28,75.1
2005-01-29,75.1
2005-01-30,75.1
2005-01-31,76.84
2005-02-01,78.6
2005-02-02,78.33
2005-02-03,80.65
2005-02-04,81.9
2005-02-05,81.9
2005-02-06,81.9
2005-02-07,82.0
2005-02-08,80.0
2005-02-09,80.25
2005-02-10,83.26
2005-02-11,84.37
2005-02-12,84.37
2005-02-13,84.37
2005-02-14,84.36
2005-02-15,83.86
2005-02-16,84.46
2005-02-17,84.46
2005-02-18,85.05
2005-02-19,85.05
2005-02-20,85.05
2005-02-21,85.0
2005-02-22,87.4
2005-02-23,88.75
2005-02-24,89.3
2005-02-25,90.8
2005-02-26,90.8
2005-02-27,90.8
2005-02-28,91.05
2005-03-01,91.04
2005-03-02,90.6
2005-03-03,92.5
2005-03-04,94.33
2005-03-05,94.33
2005-03-06,94.33
2005-03-07,93.75
2005-03-08,92.05
2005-03-09,91.89
2005-03-10,88.61
2005-03-11,87.99
2005-03-12,87.99
2005-03-13,87.99
2005-03-14,87.71
2005-03-15,89.29
2005-03-16,89.52
2005-03-17,91.0
2005-03-18,92.93
2005-03-19,92.93
2005-03-20,92.93
2005-03-21,92.0
2005-03-22,91.11
2005-03-23,89.8
2005-03-24,88.9
2005-03-25,88.9
2005-03-26,88.9
2005-03-27,88.9
2005-03-28,87.9
2005-03-29,90.41
2005-03-30,90.5
2005-03-31,92.12
2005-04-01,96.14
2005-04-02,96.14
2005-04-03,96.14
2005-04-04,96.86
2005-04-05,96.19
2005-04-06,94.95
2005-04-07,97.5
2005-04-08,95.97
2005-04-09,95.97
2005-04-10,95.97
2005-04-11,94.29
2005-04-12,94.89
2005-04-13,92.24
2005-04-14,91.7
2005-04-15,91.42
2005-04-16,91.42
2005-04-17,91.42
2005-04-18,90.75
2005-04-19,92.92
2005-04-20,94.55
2005-04-21,92.95
2005-04-22,92.7
2005-04-23,92.7
2005-04-24,92.7
2005-04-25,93.0
2005-04-26,93.1
2005-04-27,91.9
2005-04-28,90.8
2005-04-29,89.5
2005-04-30,89.5
2005-05-01,89.5
2005-05-02,89.01
2005-05-03,87.89
2005-05-04,88.06
2005-05-05,88.16
2005-05-06,88.85
2005-05-07,88.85
2005-05-08,88.85
2005-05-09,88.05
2005-05-10,88.07
2005-05-11,87.65
2005-05-12,86.84
2005-05-13,84.58
2005-05-14,84.58
2005-05-15,84.58
2005-05-16,83.65
2005-05-17,85.75
2005-05-18,86.5
2005-05-19,86.0
2005-05-20,86.19
2005-05-21,86.19
2005-05-22,86.19
2005-05-23,86.19
2005-05-24,86.84
2005-05-25,88.07
2005-05-26,88.44
2005-05-27,90.2
2005-05-28,90.2
2005-05-29,90.2
2005-05-30,91.25
2005-05-31,90.42
2005-06-01,89.51
2005-06-02,90.28
2005-06-03,90.35
2005-06-04,90.35
2005-06-05,90.35
2005-06-06,91.15
2005-06-07,91.72
2005-06-08,94.15
2005-06-09,97.19
2005-06-10,97.7
2005-06-11,97.7
2005-06-12,97.7
2005-06-13,98.92
2005-06-14,99.45
2005-06-15,100.19
2005-06-16,99.96
2005-06-17,101.46
2005-06-18,101.46
2005-06-19,101.46
2005-06-20,104.0
2005-06-21,103.45
2005-06-22,103.32
2005-06-23,104.97
2005-06-24,102.28
2005-06-25,102.28
2005-06-26,102.28
2005-06-27,104.23
2005-06-28,104.49
2005-06-29,104.02
2005-06-30,103.62
2005-07-01,103.62
2005-07-02,103.62
2005-07-03,103.62
2005-07-04,104.99
2005-07-05,108.16
2005-07-06,108.4
2005-07-07,106.94
2005-07-08,108.36
2005-07-09,108.36
2005-07-10,108.36
2005-07-11,109.18
2005-07-12,109.75
2005-07-13,108.59
2005-07-14,107.47
2005-07-15,104.05
2005-07-16,104.05
2005-07-17,104.05
2005-07-18,103.75
2005-07-19,104.94
2005-07-20,105.26
2005-07-21,103.34
2005-07-22,102.65
2005-07-23,102.65
2005-07-24,102.65
2005-07-25,103.73
2005-07-26,103.04
2005-07-27,106.97
2005-07-28,106.48
2005-07-29,106.45
2005-07-30,106.45
2005-07-31,106.45
2005-08-01,106.45
2005-08-02,110.69
2005-08-03,111.56
2005-08-04,115.15
2005-08-05,116.65
2005-08-06,116.65
2005-08-07,116.65
2005-08-08,117.75
2005-08-09,115.53
2005-08-10,115.74
2005-08-11,115.48
2005-08-12,114.49
2005-08-13,114.49
2005-08-14,114.49
2005-08-15,114.79
2005-08-16,112.66
2005-08-17,113.87
2005-08-18,110.2
2005-08-19,110.99
2005-08-20,110.99
2005-08-21,110.99
2005-08-22,111.2
2005-08-23,110.27
2005-08-24,113.98
2005-08-25,115.45
2005-08-26,117.75
2005-08-27,117.75
2005-08-28,117.75
2005-08-29,118.2
2005-08-30,118.25
2005-08-31,122.19
2005-09-01,124.21
2005-09-02,123.2
2005-09-03,123.2
2005-09-04,123.2
2005-09-05,123.2
2005-09-06,122.2
2005-09-07,125.0
2005-09-08,126.8
2005-09-09,128.83
2005-09-10,128.83
2005-09-11,128.83
2005-09-12,128.75
2005-09-13,127.81
2005-09-14,128.17
2005-09-15,128.41
2005-09-16,129.98
2005-09-17,129.98
2005-09-18,129.98
2005-09-19,129.78
2005-09-20,131.22
2005-09-21,136.36
2005-09-22,137.37
2005-09-23,130.8
2005-09-24,130.8
2005-09-25,130.8
2005-09-26,133.31
2005-09-27,134.19
2005-09-28,136.25
2005-09-29,136.38
2005-09-30,134.87
2005-10-01,134.87
2005-10-02,134.87
2005-10-03,136.18
2005-10-04,135.5
2005-10-05,132.88
2005-10-06,120.7
2005-10-07,118.37
2005-10-08,118.37
2005-10-09,118.37
2005-10-10,118.37
2005-10-11,117.9
2005-10-12,116.92
2005-10-13,111.75
2005-10-14,111.45
2005-10-15,111.45
2005-10-16,111.45
2005-10-17,114.5
2005-10-18,108.86
2005-10-19,107.0
2005-10-20,105.9
2005-10-21,103.7
2005-10-22,103.7
2005-10-23,103.7
2005-10-24,106.01
2005-10-25,107.24
2005-10-26,108.0
2005-10-27,106.42
2005-10-28,105.0
2005-10-29,105.0
2005-10-30,105.0
2005-10-31,104.67
2005-11-01,103.97
2005-11-02,108.82
2005-11-03,112.45
2005-11-04,112.39
2005-11-05,112.39
