date,value
2005-01-04,49.97
2005-01-05,49.85
2005-01-06,49.25
2005-01-07,48.64
2005-01-08,48.64
2005-01-09,48.64
2005-01-10,48.43
2005-01-11,48.62
2005-01-12,48.57
2005-01-13,48.51
2005-01-14,48.75
2005-01-15,48.75
2005-01-16,48.75
2005-01-17,48.9
2005-01-18,48.7
2005-01-19,48.4
2005-01-20,48.46
2005-01-21,48.5
2005-01-22,48.5
2005-01-23,48.5
2005-01-24,48.74
2005-01-25,49.39
2005-01-26,49.95
2005-01-27,49.9
2005-01-28,49.94
2005-01-29,49.94
2005-01-30,49.94
2005-01-31,49.34
2005-02-01,49.29
2005-02-02,48.98
2005-02-03,49.0
2005-02-04,49.0
2005-02-05,49.0
2005-02-06,49.0
2005-02-07,50.3
2005-02-08,50.96
2005-02-09,51.3
2005-02-10,51.85
2005-02-11,52.69
2005-02-12,52.69
2005-02-13,52.69
2005-02-14,52.33
2005-02-15,52.18
2005-02-16,51.23
2005-02-17,51.35
2005-02-18,51.25
2005-02-19,51.25
2005-02-20,51.25
2005-02-21,51.99
2005-02-22,51.84
2005-02-23,51.24
2005-02-24,51.37
2005-02-25,53.15
2005-02-26,53.15
2005-02-27,53.15
2005-02-28,53.24
2005-03-01,53.68
2005-03-02,55.24
2005-03-03,55.69
2005-03-04,55.19
2005-03-05,55.19
2005-03-06,55.19
2005-03-07,54.3
2005-03-08,54.59
2005-03-09,54.55
2005-03-10,54.7
2005-03-11,54.7
2005-03-12,54.7
2005-03-13,54.7
2005-03-14,54.69
2005-03-15,55.0
2005-03-16,55.05
2005-03-17,55.68
2005-03-18,54.88
2005-03-19,54.88
2005-03-20,54.88
2005-03-21,54.44
2005-03-22,53.66
2005-03-23,52.75
2005-03-24,52.25
2005-03-25,52.25
2005-03-26,52.25
2005-03-27,52.25
2005-03-28,52.0
2005-03-29,51.75
2005-03-30,52.25
2005-03-31,52.5
2005-04-01,52.65
2005-04-02,52.65
2005-04-03,52.65
2005-04-04,52.44
2005-04-05,52.6
2005-04-06,52.8
2005-04-07,52.74
2005-04-08,52.45
2005-04-09,52.45
2005-04-10,52.45
2005-04-11,52.73
2005-04-12,53.43
2005-04-13,53.66
2005-04-14,53.6
2005-04-15,53.0
2005-04-16,53.0
2005-04-17,53.0
2005-04-18,52.75
2005-04-19,52.56
2005-04-20,52.5
2005-04-21,52.5
2005-04-22,52.3
2005-04-23,52.3
2005-04-24,52.3
2005-04-25,52.28
2005-04-26,52.1
2005-04-27,52.19
2005-04-28,52.39
2005-04-29,52.7
2005-04-30,52.7
2005-05-01,52.7
2005-05-02,53.03
2005-05-03,52.89
2005-05-04,52.65
2005-05-05,52.49
2005-05-06,52.88
2005-05-07,52.88
2005-05-08,52.88
2005-05-09,52.77
2005-05-10,52.85
2005-05-11,52.94
2005-05-12,52.73
2005-05-13,52.4
2005-05-14,52.4
2005-05-15,52.4
2005-05-16,52.27
2005-05-17,52.13
2005-05-18,51.88
2005-05-19,51.94
2005-05-20,52.13
2005-05-21,52.13
2005-05-22,52.13
2005-05-23,52.13
2005-05-24,52.59
2005-05-25,52.5
2005-05-26,52.69
2005-05-27,52.89
2005-05-28,52.89
2005-05-29,52.89
2005-05-30,52.78
2005-05-31,53.24
2005-06-01,53.39
2005-06-02,53.42
2005-06-03,53.57
2005-06-04,53.57
2005-06-05,53.57
2005-06-06,54.39
2005-06-07,54.75
2005-06-08,54.48
2005-06-09,54.7
2005-06-10,54.73
2005-06-11,54.73
2005-06-12,54.73
2005-06-13,54.35
2005-06-14,54.1
2005-06-15,54.23
2005-06-16,54.17
2005-06-17,54.11
2005-06-18,54.11
2005-06-19,54.11
2005-06-20,54.3
2005-06-21,54.47
2005-06-22,54.96
2005-06-23,54.97
2005-06-24,54.95
2005-06-25,54.95
2005-06-26,54.95
2005-06-27,54.94
2005-06-28,55.41
2005-06-29,55.33
2005-06-30,54.9
2005-07-01,54.9
2005-07-02,54.9
2005-07-03,54.9
2005-07-04,54.74
2005-07-05,54.9
2005-07-06,54.9
2005-07-07,55.4
2005-07-08,55.74
2005-07-09,55.74
2005-07-10,55.74
2005-07-11,55.99
2005-07-12,56.1
2005-07-13,56.19
2005-07-14,56.0
2005-07-15,56.74
2005-07-16,56.74
2005-07-17,56.74
2005-07-18,57.45
2005-07-19,57.3
2005-07-20,56.97
2005-07-21,57.13
2005-07-22,56.94
2005-07-23,56.94
2005-07-24,56.94
2005-07-25,56.7
2005-07-26,56.87
2005-07-27,58.13
2005-07-28,58.78
2005-07-29,58.38
2005-07-30,58.38
2005-07-31,58.38
2005-08-01,58.38
2005-08-02,58.23
2005-08-03,57.96
2005-08-04,57.69
2005-08-05,56.8
2005-08-06,56.8
2005-08-07,56.8
2005-08-08,57.25
2005-08-09,56.99
2005-08-10,57.0
2005-08-11,56.65
2005-08-12,56.68
2005-08-13,56.68
2005-08-14,56.68
2005-08-15,57.44
2005-08-16,57.55
2005-08-17,57.45
2005-08-18,57.4
2005-08-19,56.89
2005-08-20,56.89
2005-08-21,56.89
2005-08-22,56.59
2005-08-23,56.27
2005-08-24,56.13
2005-08-25,57.5
2005-08-26,57.72
2005-08-27,57.72
2005-08-28,57.72
2005-08-29,57.75
2005-08-30,57.6
2005-08-31,57.98
2005-09-01,57.84
2005-09-02,58.23
2005-09-03,58.23
2005-09-04,58.23
2005-09-05,58.23
2005-09-06,58.89
2005-09-07,59.54
2005-09-08,59.5
2005-09-09,58.54
2005-09-10,58.54
2005-09-11,58.54
2005-09-12,58.4
2005-09-13,58.29
2005-09-14,58.86
2005-09-15,58.92
2005-09-16,59.38
2005-09-17,59.38
2005-09-18,59.38
2005-09-19,59.48
2005-09-20,60.18
2005-09-21,59.97
2005-09-22,59.94
2005-09-23,60.33
2005-09-24,60.33
2005-09-25,60.33
2005-09-26,61.4
2005-09-27,61.47
2005-09-28,62.31
2005-09-29,60.62
2005-09-30,60.19
2005-10-01,60.19
2005-10-02,60.19
2005-10-03,60.39
2005-10-04,60.64
2005-10-05,60.36
2005-10-06,59.73
2005-10-07,59.39
2005-10-08,59.39
2005-10-09,59.39
2005-10-10,59.39
2005-10-11,58.95
2005-10-12,59.18
2005-10-13,59.39
2005-10-14,59.35
2005-10-15,59.35
2005-10-16,59.35
2005-10-17,59.23
2005-10-18,58.91
2005-10-19,58.9
2005-10-20,58.48
2005-10-21,58.85
2005-10-22,58.85
2005-10-23,58.85
2005-10-24,58.99
2005-10-25,58.28
2005-10-26,58.08
2005-10-27,57.8
2005-10-28,58.5
2005-10-29,58.5
2005-10-30,58.5
2005-10-31,59.39
2005-11-01,59.87
2005-11-02,59.98
2005-11-03,59.95
2005-11-04,59.97
2005-11-05,59.97
2005-11-06,59.97
2005-11-07,60.14
2005-11-08,60.08
2005-11-09,59.82
2005-11-10,60.28
2005-11-11,60.19
2005-11-12,60.19
2005-11-13,60.19
2005-11-14,60.56
2005-11-15,60.39
2005-11-16,60.3
2005-11-17,60.58
2005-11-18,60.87
2005-11-19,60.87
2005-11-20,60.87
2005-11-21,61.24
2005-11-22,61.92
2005-11-23,62.47
2005-11-24,64.0
2005-11-25,63.99
2005-11-26,63.99
2005-11-27,63.99
2005-11-28,63.66
2005-11-29,63.45
2005-11-30,63.09
2005-12-01,62.27
2005-12-02,61.78
2005-12-03,61.78
2005-12-04,61.78
2005-12-05,61.84
2005-12-06,62.82
2005-12-07,61.55
2005-12-08,60.65
2005-12-09,60.24
2005-12-10,60.24
2005-12-11,60.24
2005-12-12,59.48
2005-12-13,59.17
2005-12-14,60.08
2005-12-15,60.04
2005-12-16,60.61
2005-12-17,60.61
2005-12-18,60.61
2005-12-19,60.74
2005-12-20,61.2
2005-12-21,61.1
2005-12-22,61.47
2005-12-23,60.45
2005-12-24,60.45
2005-12-25,60.45
2005-12-26,60.45
2005-12-27,60.45
2005-12-28,60.38
2005-12-29,60.49
2005-12-30,60.49
2005-12-31,60.49
2006-01-01,60.49
2006-01-02,60.49
2006-01-03,60.66
2006-01-04,60.48
2006-01-05,60.25
2006-01-06,60.2
2006-01-07,60.2
2006-01-08,60.2
2006-01-09,60.07
2006-01-10,60.1
2006-01-11,61.36
2006-01-12,62.66
2006-01-13,62.38
2006-01-14,62.38
2006-01-15,62.38
2006-01-16,62.1
2006-01-17,62.03
2006-01-18,61.2
2006-01-19,61.42
2006-01-20,61.5
2006-01-21,61.5
2006-01-22,61.5
2006-01-23,61.9
2006-01-24,61.94
2006-01-25,61.48
2006-01-26,61.72
2006-01-27,62.3
2006-01-28,62.3
2006-01-29,62.3
2006-01-30,63.35
2006-01-31,62.8
2006-02-01,62.49
2006-02-02,62.24
2006-02-03,62.2
2006-02-04,62.2
2006-02-05,62.2
2006-02-06,61.89
2006-02-07,61.59
2006-02-08,61.69
2006-02-09,61.99
2006-02-10,62.44
2006-02-11,62.44
2006-02-12,62.44
2006-02-13,62.38
2006-02-14,62.67
2006-02-15,63.3
2006-02-16,63.78
2006-02-17,63.66
2006-02-18,63.66
2006-02-19,63.66
2006-02-20,63.34
2006-02-21,63.5
2006-02-22,64.0
2006-02-23,64.2
2006-02-24,64.69
2006-02-25,64.69
2006-02-26,64.69
2006-02-27,65.84
2006-02-28,65.4
2006-03-01,64.85
2006-03-02,64.79
2006-03-03,63.63
2006-03-04,63.63
2006-03-05,63.63
2006-03-06,63.85
