date,value
2005-01-04,2072214.0
2005-01-05,268704.0
2005-01-06,2335950.0
2005-01-07,-1147446.0
2005-01-08,-1147446.0
2005-01-09,-1147446.0
2005-01-10,1486368.0
2005-01-11,-50238.0
2005-01-12,1282491.0
2005-01-13,2320101.0
2005-01-14,1161504.0
2005-01-15,1161504.0
2005-01-16,1161504.0
2005-01-17,825849.0
2005-01-18,5462712.0
2005-01-19,3323403.0
2005-01-20,2013867.0
2005-01-21,3928212.0
2005-01-22,3928212.0
2005-01-23,3928212.0
2005-01-24,5179311.0
2005-01-25,8639892.0
2005-01-26,11337633.0
2005-01-27,13406634.0
2005-01-28,11893302.0
2005-01-29,11893302.0
2005-01-30,11893302.0
2005-01-31,14678739.0
2005-02-01,17422947.0
2005-02-02,19807785.0
2005-02-03,23085612.0
2005-02-04,26969985.0
2005-02-05,26969985.0
2005-02-06,26969985.0
2005-02-07,24207039.0
2005-02-08,20455938.0
2005-02-09,23525937.0
2005-02-10,26426052.0
2005-02-11,29137887.0
2005-02-12,29137887.0
2005-02-13,29137887.0
2005-02-14,26440983.0
2005-02-15,22618008.0
2005-02-16,27296919.0
2005-02-17,22058388.0
2005-02-18,24518106.0
2005-02-19,24518106.0
2005-02-20,24518106.0
2005-02-21,25112448.0
2005-02-22,29910861.0
2005-02-23,32622840.0
2005-02-24,35836551.0
2005-02-25,38838150.0
2005-02-26,38838150.0
2005-02-27,38838150.0
2005-02-28,34238394.0
2005-03-01,40199031.0
2005-03-02,43087977.0
2005-03-03,45938538.0
2005-03-04,50307219.0
2005-03-05,50307219.0
2005-03-06,50307219.0
2005-03-07,45952209.0
2005-03-08,49815333.0
2005-03-09,44824257.0
2005-03-10,40033692.0
2005-03-11,42834519.0
2005-03-12,42834519.0
2005-03-13,42834519.0
2005-03-14,45758619.0
2005-03-15,48978522.0
2005-03-16,52864443.0
2005-03-17,56829294.0
2005-03-18,64841715.0
2005-03-19,64841715.0
2005-03-20,64841715.0
2005-03-21,61513767.0
2005-03-22,58229928.0
2005-03-23,55275093.0
2005-03-24,51947028.0
2005-03-25,51947028.0
2005-03-26,51947028.0
2005-03-27,51947028.0
2005-03-28,49419639.0
2005-03-29,55060317.0
2005-03-30,48603717.0
2005-03-31,54197649.0
2005-04-01,59637519.0
2005-04-02,59637519.0
2005-04-03,59637519.0
2005-04-04,63944361.0
2005-04-05,59675688.0
2005-04-06,64698444.0
2005-04-07,69027903.0
2005-04-08,66141945.0
2005-04-09,66141945.0
2005-04-10,66141945.0
2005-04-11,68174631.0
2005-04-12,65983563.0
2005-04-13,63174456.0
2005-04-14,65020347.0
2005-04-15,62422731.0
2005-04-16,62422731.0
2005-04-17,62422731.0
2005-04-18,59130900.0
2005-04-19,62385975.0
2005-04-20,64580940.0
2005-04-21,61882371.0
2005-04-22,60889914.0
2005-04-23,60889914.0
2005-04-24,60889914.0
2005-04-25,62783199.0
2005-04-26,59290416.0
2005-04-27,56092275.0
2005-04-28,49533696.0
2005-04-29,54278325.0
2005-04-30,54278325.0
2005-05-01,54278325.0
2005-05-02,48594843.0
2005-05-03,44235612.0
2005-05-04,47513160.0
2005-05-05,52564986.0
2005-05-06,47060694.0
2005-05-07,47060694.0
2005-05-08,47060694.0
2005-05-09,43550919.0
2005-05-10,48201012.0
2005-05-11,43874874.0
2005-05-12,40571955.0
2005-05-13,38203065.0
2005-05-14,38203065.0
2005-05-15,38203065.0
2005-05-16,34451388.0
2005-05-17,37373409.0
2005-05-18,34591797.0
2005-05-19,36890811.0
2005-05-20,33543918.0
2005-05-21,33543918.0
2005-05-22,33543918.0
2005-05-23,33543918.0
2005-05-24,37554246.0
2005-05-25,40957029.0
2005-05-26,43600257.0
2005-05-27,45106902.0
2005-05-28,45106902.0
