date,value
2005-01-04,1114584.0
2005-01-05,-597904.0
2005-01-06,-2756004.0
2005-01-07,-4107856.0
2005-01-08,-4107856.0
2005-01-09,-4107856.0
2005-01-10,-2822468.0
2005-01-11,-2057168.0
2005-01-12,-1273116.0
2005-01-13,-3193952.0
2005-01-14,-2212304.0
2005-01-15,-2212304.0
2005-01-16,-2212304.0
2005-01-17,-1388188.0
2005-01-18,-4633052.0
2005-01-19,-8475896.0
2005-01-20,-6231924.0
2005-01-21,-7855372.0
2005-01-22,-7855372.0
2005-01-23,-7855372.0
2005-01-24,-6468360.0
2005-01-25,-4482676.0
2005-01-26,-3299588.0
2005-01-27,-2681628.0
2005-01-28,-3403360.0
2005-01-29,-3403360.0
2005-01-30,-3403360.0
2005-01-31,-2393160.0
2005-02-01,-4982176.0
2005-02-02,-3233556.0
2005-02-03,-2191768.0
2005-02-04,-3514840.0
2005-02-05,-3514840.0
2005-02-06,-3514840.0
2005-02-07,-1189236.0
2005-02-08,5232800.0
2005-02-09,7875504.0
2005-02-10,9245756.0
2005-02-11,13032444.0
2005-02-12,13032444.0
2005-02-13,13032444.0
2005-02-14,11991456.0
2005-02-15,10272372.0
2005-02-16,11763164.0
2005-02-17,11763164.0
2005-02-18,12500548.0
2005-02-19,12500548.0
2005-02-20,12500548.0
2005-02-21,12851756.0
2005-02-22,11724116.0
2005-02-23,10721828.0
2005-02-24,13287784.0
2005-02-25,16041076.0
2005-02-26,16041076.0
2005-02-27,16041076.0
2005-02-28,18253892.0
2005-03-01,20981952.0
2005-03-02,25020252.0
2005-03-03,21749612.0
2005-03-04,18873124.0
2005-03-05,18873124.0
2005-03-06,18873124.0
2005-03-07,17056296.0
2005-03-08,19711808.0
2005-03-09,17766660.0
2005-03-10,19578744.0
2005-03-11,17597048.0
2005-03-12,17597048.0
2005-03-13,17597048.0
2005-03-14,18745320.0
2005-03-15,21015864.0
2005-03-16,22318036.0
2005-03-17,23732592.0
2005-03-18,18402532.0
2005-03-19,18402532.0
2005-03-20,18402532.0
2005-03-21,14292592.0
2005-03-22,11771236.0
2005-03-23,8807988.0
2005-03-24,5875760.0
2005-03-25,5875760.0
2005-03-26,5875760.0
2005-03-27,5875760.0
2005-03-28,4350484.0
2005-03-29,880600.0
2005-03-30,4093564.0
2005-03-31,5546680.0
2005-04-01,3467560.0
2005-04-02,3467560.0
2005-04-03,3467560.0
2005-04-04,5056304.0
2005-04-05,7035360.0
2005-04-06,8650632.0
2005-04-07,7301488.0
2005-04-08,5897736.0
2005-04-09,5897736.0
2005-04-10,5897736.0
2005-04-11,7068640.0
2005-04-12,8456972.0
2005-04-13,11483372.0
2005-04-14,6922888.0
2005-04-15,4678156.0
2005-04-16,4678156.0
2005-04-17,4678156.0
2005-04-18,6481292.0
2005-04-19,7476084.0
2005-04-20,6010308.0
2005-04-21,8494428.0
2005-04-22,7513680.0
2005-04-23,7513680.0
2005-04-24,7513680.0
2005-04-25,6021980.0
2005-04-26,7173396.0
2005-04-27,4202856.0
2005-04-28,6240756.0
2005-04-29,8092032.0
2005-04-30,8092032.0
2005-05-01,8092032.0
2005-05-02,9931612.0
2005-05-03,7395564.0
2005-05-04,9514284.0
2005-05-05,5639524.0
2005-05-06,7519776.0
2005-05-07,7519776.0
2005-05-08,7519776.0
2005-05-09,8950396.0
2005-05-10,7466156.0
2005-05-11,5409052.0
2005-05-12,4286532.0
2005-05-13,2836176.0
2005-05-14,2836176.0
2005-05-15,2836176.0
2005-05-16,4580520.0
2005-05-17,2767596.0
2005-05-18,6298352.0
2005-05-19,7685956.0
2005-05-20,9158680.0
2005-05-21,9158680.0
2005-05-22,9158680.0
2005-05-23,9158680.0
2005-05-24,10480964.0
2005-05-25,6026496.0
2005-05-26,8380656.0
2005-05-27,6510768.0
2005-05-28,6510768.0
2005-05-29,6510768.0
2005-05-30,5829864.0
2005-05-31,10445720.0
2005-06-01,13698756.0
2005-06-02,11661936.0
2005-06-03,13193224.0
2005-06-04,13193224.0
2005-06-05,13193224.0
2005-06-06,15531256.0
2005-06-07,13585432.0
2005-06-08,14406980.0
2005-06-09,15735988.0
2005-06-10,14153192.0
2005-06-11,14153192.0
2005-06-12,14153192.0
2005-06-13,11112812.0
2005-06-14,9962008.0
2005-06-15,8872960.0
2005-06-16,12817796.0
2005-06-17,19868684.0
2005-06-18,19868684.0
2005-06-19,19868684.0
2005-06-20,20843376.0
2005-06-21,19126940.0
2005-06-22,21238888.0
2005-06-23,22984068.0
2005-06-24,24853000.0
2005-06-25,24853000.0
2005-06-26,24853000.0
2005-06-27,23467520.0
2005-06-28,25679216.0
2005-06-29,24620072.0
2005-06-30,23060772.0
2005-07-01,23060772.0
2005-07-02,23060772.0
2005-07-03,23060772.0
2005-07-04,23834256.0
2005-07-05,24951360.0
2005-07-06,26161216.0
2005-07-07,27391200.0
2005-07-08,28146852.0
2005-07-09,28146852.0
2005-07-10,28146852.0
2005-07-11,28901020.0
2005-07-12,27899456.0
2005-07-13,29036756.0
2005-07-14,26039604.0
2005-07-15,27736204.0
2005-07-16,27736204.0
2005-07-17,27736204.0
2005-07-18,29352652.0
2005-07-19,27838712.0
2005-07-20,29208984.0
2005-07-21,26887516.0
2005-07-22,25309148.0
2005-07-23,25309148.0
2005-07-24,25309148.0
2005-07-25,27138648.0
2005-07-26,30874976.0
2005-07-27,32653780.0
2005-07-28,35020092.0
2005-07-29,33684660.0
2005-07-30,33684660.0
2005-07-31,33684660.0
2005-08-01,33684660.0
2005-08-02,34984204.0
2005-08-03,33504964.0
2005-08-04,29865588.0
2005-08-05,31512708.0
2005-08-06,31512708.0
2005-08-07,31512708.0
2005-08-08,30265476.0
2005-08-09,31095276.0
2005-08-10,28695776.0
2005-08-11,27864876.0
2005-08-12,28511216.0
2005-08-13,28511216.0
2005-08-14,28511216.0
2005-08-15,29406924.0
2005-08-16,28057568.0
2005-08-17,29602032.0
2005-08-18,28528972.0
2005-08-19,27739332.0
2005-08-20,27739332.0
2005-08-21,27739332.0
2005-08-22,27227412.0
2005-08-23,26514780.0
2005-08-24,27392252.0
2005-08-25,29078920.0
2005-08-26,27527200.0
2005-08-27,27527200.0
2005-08-28,27527200.0
2005-08-29,29239536.0
2005-08-30,30697760.0
2005-08-31,28324064.0
2005-09-01,30074356.0
2005-09-02,31020768.0
2005-09-03,31020768.0
2005-09-04,31020768.0
2005-09-05,31020768.0
2005-09-06,33362620.0
2005-09-07,36005368.0
2005-09-08,33740236.0
2005-09-09,34831724.0
2005-09-10,34831724.0
2005-09-11,34831724.0
2005-09-12,34831724.0
2005-09-13,33526516.0
2005-09-14,34747140.0
2005-09-15,38439680.0
2005-09-16,44058500.0
2005-09-17,44058500.0
2005-09-18,44058500.0
2005-09-19,48807676.0
2005-09-20,51756056.0
2005-09-21,52983152.0
2005-09-22,54179232.0
2005-09-23,58552240.0
2005-09-24,58552240.0
2005-09-25,58552240.0
2005-09-26,65664236.0
2005-09-27,69911340.0
2005-09-28,67590968.0
2005-09-29,66396024.0
2005-09-30,69948440.0
2005-10-01,69948440.0
2005-10-02,69948440.0
2005-10-03,70946900.0
2005-10-04,67473540.0
2005-10-05,66307208.0
2005-10-06,65066112.0
2005-10-07,63913284.0
2005-10-08,63913284.0
2005-10-09,63913284.0
2005-10-10,63913284.0
2005-10-11,65178332.0
2005-10-12,66513196.0
2005-10-13,68237548.0
2005-10-14,67037012.0
2005-10-15,67037012.0
2005-10-16,67037012.0
2005-10-17,65820836.0
2005-10-18,64728856.0
2005-10-19,65967940.0
2005-10-20,63153352.0
2005-10-21,64780532.0
2005-10-22,64780532.0
2005-10-23,64780532.0
2005-10-24,63679104.0
2005-10-25,61671424.0
2005-10-26,63267664.0
2005-10-27,64113376.0
2005-10-28,65719724.0
2005-10-29,65719724.0
2005-10-30,65719724.0
2005-10-31,68319912.0
2005-11-01,70005380.0
2005-11-02,71615836.0
2005-11-03,66910452.0
2005-11-04,68212120.0
2005-11-05,68212120.0
2005-11-06,68212120.0
2005-11-07,69696152.0
2005-11-08,68539800.0
2005-11-09,70053392.0
2005-11-10,71472540.0
2005-11-11,69790464.0
2005-11-12,69790464.0
2005-11-13,69790464.0
2005-11-14,70784880.0
2005-11-15,69683232.0
2005-11-16,72966156.0
2005-11-17,73940308.0
2005-11-18,74545436.0
2005-11-19,74545436.0
2005-11-20,74545436.0
2005-11-21,75795800.0
2005-11-22,76717928.0
2005-11-23,77929424.0
2005-11-24,80284680.0
2005-11-25,78726576.0
2005-11-26,78726576.0
2005-11-27,78726576.0
2005-11-28,77262804.0
2005-11-29,78422340.0
2005-11-30,76444868.0
2005-12-01,74735284.0
2005-12-02,73373728.0
2005-12-03,73373728.0
2005-12-04,73373728.0
2005-12-05,74792600.0
2005-12-06,71892224.0
2005-12-07,68002152.0
2005-12-08,62045672.0
2005-12-09,57874228.0
2005-12-10,57874228.0
2005-12-11,57874228.0
2005-12-12,53351576.0
2005-12-13,55928900.0
2005-12-14,60436636.0
2005-12-15,57699728.0
2005-12-16,62563448.0
2005-12-17,62563448.0
2005-12-18,62563448.0
2005-12-19,64252100.0
2005-12-20,61821124.0
2005-12-21,66796316.0
2005-12-22,64526848.0
2005-12-23,64526848.0
2005-12-24,64526848.0
2005-12-25,64526848.0
2005-12-26,64526848.0
2005-12-27,64526848.0
2005-12-28,64992904.0
2005-12-29,64614268.0
2005-12-30,64061628.0
2005-12-31,64061628.0
2006-01-01,64061628.0
2006-01-02,64061628.0
2006-01-03,66065204.0
2006-01-04,62823772.0
2006-01-05,66073280.0
2006-01-06,63493732.0
2006-01-07,63493732.0
2006-01-08,63493732.0
2006-01-09,63493732.0
2006-01-10,70909856.0
2006-01-11,75304564.0
2006-01-12,79515652.0
2006-01-13,76621824.0
2006-01-14,76621824.0
2006-01-15,76621824.0
2006-01-16,79115168.0
2006-01-17,74448656.0
2006-01-18,71621668.0
2006-01-19,73685304.0
2006-01-20,72220720.0
2006-01-21,72220720.0
2006-01-22,72220720.0
2006-01-23,73496356.0
2006-01-24,71669876.0
2006-01-25,72158524.0
2006-01-26,73322832.0
2006-01-27,74617492.0
2006-01-28,74617492.0
2006-01-29,74617492.0
2006-01-30,78658432.0
2006-01-31,75789688.0
2006-02-01,77745412.0
2006-02-02,74899784.0
2006-02-03,72867008.0
2006-02-04,72867008.0
2006-02-05,72867008.0
2006-02-06,70391280.0
2006-02-07,67721052.0
2006-02-08,66691920.0
2006-02-09,68244936.0
2006-02-10,69486864.0
2006-02-11,69486864.0
2006-02-12,69486864.0
2006-02-13,68218640.0
2006-02-14,70090488.0
2006-02-15,72115564.0
2006-02-16,74137884.0
2006-02-17,73187828.0
2006-02-18,73187828.0
2006-02-19,73187828.0
2006-02-20,72504736.0
2006-02-21,73560536.0
2006-02-22,75100388.0
2006-02-23,73317572.0
2006-02-24,79710564.0
2006-02-25,79710564.0
2006-02-26,79710564.0
2006-02-27,81433384.0
2006-02-28,80118636.0
2006-03-01,78797408.0
2006-03-02,74843560.0
2006-03-03,78146780.0
2006-03-04,78146780.0
2006-03-05,78146780.0
2006-03-06,75956656.0
2006-03-07,78811060.0
2006-03-08,71760388.0
2006-03-09,74046276.0
2006-03-10,75888264.0
2006-03-11,75888264.0
2006-03-12,75888264.0
2006-03-13,74322348.0
2006-03-14,77552396.0
2006-03-15,79773160.0
2006-03-16,78394756.0
2006-03-17,73860392.0
2006-03-18,73860392.0
2006-03-19,73860392.0
2006-03-20,74930392.0
2006-03-21,73350672.0
2006-03-22,76148428.0
2006-03-23,78560148.0
2006-03-24,80215068.0
2006-03-25,80215068.0
2006-03-26,80215068.0
2006-03-27,77241244.0
2006-03-28,80221068.0
2006-03-29,82427208.0
2006-03-30,81127560.0
2006-03-31,79032792.0
2006-04-01,79032792.0
2006-04-02,79032792.0
2006-04-03,81282492.0
2006-04-04,79861312.0
2006-04-05,78437648.0
2006-04-06,75670432.0
2006-04-07,74545944.0
2006-04-08,74545944.0
2006-04-09,74545944.0
2006-04-10,72327928.0
2006-04-11,69406728.0
2006-04-12,67414712.0
2006-04-13,68723780.0
2006-04-14,68723780.0
2006-04-15,68723780.0
2006-04-16,68723780.0
2006-04-17,68053124.0
2006-04-18,65578768.0
2006-04-19,63962792.0
2006-04-20,61705652.0
2006-04-21,63077936.0
2006-04-22,63077936.0
2006-04-23,63077936.0
2006-04-24,62028656.0
2006-04-25,60402920.0
2006-04-26,62501764.0
2006-04-27,61291112.0
2006-04-28,63373180.0
2006-04-29,63373180.0
2006-04-30,63373180.0
2006-05-01,62605128.0
2006-05-02,60707180.0
2006-05-03,59244732.0
2006-05-04,57773512.0
2006-05-05,59859896.0
2006-05-06,59859896.0
2006-05-07,59859896.0
2006-05-08,58214036.0
2006-05-09,56861096.0
2006-05-10,58321580.0
