date,value
2005-01-17,11.0721
2005-01-18,11.1044
2005-01-19,11.1122
2005-01-20,11.1055
2005-01-21,11.1014
2005-01-22,11.1014
2005-01-23,11.1014
2005-01-24,11.1085
2005-01-25,11.0992
2005-01-26,11.0984
2005-01-27,11.0877
2005-01-28,11.0773
2005-01-29,11.0773
2005-01-30,11.0773
2005-01-31,11.058
2005-02-01,11.0398
2005-02-02,11.0242
2005-02-03,10.999
2005-02-04,10.9626
2005-02-05,10.9626
2005-02-06,10.9626
2005-02-07,10.9385
2005-02-08,10.9344
2005-02-09,10.9321
2005-02-10,10.9344
2005-02-11,10.9322
2005-02-12,10.9322
2005-02-13,10.9322
2005-02-14,10.9258
2005-02-15,10.9255
2005-02-16,10.9333
2005-02-17,10.9422
2005-02-18,10.9604
2005-02-19,10.9604
2005-02-20,10.9604
2005-02-21,10.9719
2005-02-22,10.9793
2005-02-23,10.9763
2005-02-24,10.9659
2005-02-25,10.9555
2005-02-26,10.9555
2005-02-27,10.9555
2005-02-28,10.9515
2005-03-01,10.9548
2005-03-02,10.9722
2005-03-03,10.9882
2005-03-04,10.9871
2005-03-05,10.9871
2005-03-06,10.9871
2005-03-07,10.9856
2005-03-08,10.9871
2005-03-09,10.9953
2005-03-10,11.0064
2005-03-11,11.0322
2005-03-12,11.0322
2005-03-13,11.0322
2005-03-14,11.0542
2005-03-15,11.0674
2005-03-16,11.0758
2005-03-17,11.0935
2005-03-18,11.1261
2005-03-19,11.1261
2005-03-20,11.1261
2005-03-21,11.1565
2005-03-22,11.1817
2005-03-23,11.1987
2005-03-24,11.2164
2005-03-25,11.2164
2005-03-26,11.2164
2005-03-27,11.2164
2005-03-28,11.2262
2005-03-29,11.2438
2005-03-30,11.2611
2005-03-31,11.2749
2005-04-01,11.2862
2005-04-02,11.2862
2005-04-03,11.2862
2005-04-04,11.3016
2005-04-05,11.3174
2005-04-06,11.3279
2005-04-07,11.3301
2005-04-08,11.3312
2005-04-09,11.3312
2005-04-10,11.3312
2005-04-11,11.341
2005-04-12,11.3568
2005-04-13,11.3711
2005-04-14,11.3726
2005-04-15,11.3763
2005-04-16,11.3763
2005-04-17,11.3763
2005-04-18,11.3722
2005-04-19,11.3579
2005-04-20,11.3485
2005-04-21,11.35
2005-04-22,11.3572
2005-04-23,11.3572
2005-04-24,11.3572
2005-04-25,11.3538
2005-04-26,11.338
2005-04-27,11.3249
2005-04-28,11.317
2005-04-29,11.3151
2005-04-30,11.3151
2005-05-01,11.3151
2005-05-02,11.3132
2005-05-03,11.3189
2005-05-04,11.3151
2005-05-05,11.3095
2005-05-06,11.3024
2005-05-07,11.3024
2005-05-08,11.3024
2005-05-09,11.29
2005-05-10,11.2851
2005-05-11,11.2566
2005-05-12,11.222
2005-05-13,11.1864
2005-05-14,11.1864
2005-05-15,11.1864
2005-05-16,11.1417
2005-05-17,11.1068
2005-05-18,11.0636
2005-05-19,11.025
2005-05-20,10.9893
2005-05-21,10.9893
2005-05-22,10.9893
2005-05-23,10.9893
2005-05-24,10.9619
2005-05-25,10.9311
2005-05-26,10.9198
2005-05-27,10.9101
2005-05-28,10.9101
2005-05-29,10.9101
2005-05-30,10.8966
2005-05-31,10.8928
2005-06-01,10.8778
2005-06-02,10.8699
2005-06-03,10.8681
2005-06-04,10.8681
2005-06-05,10.8681
2005-06-06,10.8662
2005-06-07,10.8692
2005-06-08,10.8827
2005-06-09,10.9094
2005-06-10,10.9394
2005-06-11,10.9394
2005-06-12,10.9394
2005-06-13,10.9711
2005-06-14,10.9922
2005-06-15,11.0212
2005-06-16,11.0589
2005-06-17,11.0894
2005-06-18,11.0894
2005-06-19,11.0894
2005-06-20,11.1113
2005-06-21,11.126
2005-06-22,11.1325
2005-06-23,11.1315
2005-06-24,11.1366
2005-06-25,11.1366
2005-06-26,11.1366
2005-06-27,11.1313
2005-06-28,11.1412
2005-06-29,11.1488
2005-06-30,11.1579
2005-07-01,11.1579
2005-07-02,11.1579
2005-07-03,11.1579
2005-07-04,11.1541
2005-07-05,11.1506
2005-07-06,11.1533
2005-07-07,11.1567
2005-07-08,11.1613
2005-07-09,11.1613
2005-07-10,11.1613
2005-07-11,11.1636
2005-07-12,11.1696
2005-07-13,11.1711
2005-07-14,11.1673
2005-07-15,11.1673
2005-07-16,11.1673
2005-07-17,11.1673
2005-07-18,11.1844
2005-07-19,11.2159
2005-07-20,11.2471
2005-07-21,11.2695
2005-07-22,11.2866
2005-07-23,11.2866
2005-07-24,11.2866
2005-07-25,11.2972
2005-07-26,11.3059
2005-07-27,11.3279
2005-07-28,11.3537
2005-07-29,11.3636
2005-07-30,11.3636
2005-07-31,11.3636
2005-08-01,11.3636
2005-08-02,11.3845
2005-08-03,11.3936
2005-08-04,11.4031
2005-08-05,11.4293
2005-08-06,11.4293
2005-08-07,11.4293
2005-08-08,11.4642
2005-08-09,11.5067
2005-08-10,11.5667
2005-08-11,11.6092
2005-08-12,11.6442
2005-08-13,11.6442
2005-08-14,11.6442
2005-08-15,11.6817
2005-08-16,11.7205
2005-08-17,11.7455
2005-08-18,11.7618
2005-08-19,11.7618
2005-08-20,11.7618
2005-08-21,11.7618
2005-08-22,11.7539
2005-08-23,11.7429
2005-08-24,11.7091
2005-08-25,11.687
2005-08-26,11.6688
2005-08-27,11.6688
2005-08-28,11.6688
2005-08-29,11.6502
2005-08-30,11.6134
2005-08-31,11.6259
2005-09-01,11.6457
2005-09-02,11.6817
2005-09-03,11.6817
2005-09-04,11.6817
2005-09-05,11.6817
2005-09-06,11.7326
2005-09-07,11.7842
2005-09-08,11.8522
2005-09-09,11.9232
2005-09-10,11.9232
2005-09-11,11.9232
2005-09-12,11.9972
2005-09-13,12.087
2005-09-14,12.1648
2005-09-15,12.2169
2005-09-16,12.276
2005-09-17,12.276
2005-09-18,12.276
2005-09-19,12.3417
2005-09-20,12.3447
2005-09-21,12.3246
2005-09-22,12.3093
2005-09-23,12.304
2005-09-24,12.304
2005-09-25,12.304
2005-09-26,12.3052
2005-09-27,12.2991
2005-09-28,12.2983
2005-09-29,12.281
2005-09-30,12.2622
2005-10-01,12.2622
2005-10-02,12.2622
2005-10-03,12.2166
2005-10-04,12.2166
2005-10-05,12.2384
2005-10-06,12.2285
2005-10-07,12.1913
2005-10-08,12.1913
2005-10-09,12.1913
2005-10-10,12.1913
2005-10-11,12.1429
2005-10-12,12.0923
2005-10-13,12.0444
2005-10-14,12.0041
2005-10-15,12.0041
2005-10-16,12.0041
2005-10-17,11.9477
2005-10-18,11.8898
2005-10-19,11.8357
2005-10-20,11.7563
2005-10-21,11.6857
2005-10-22,11.6857
2005-10-23,11.6857
2005-10-24,11.6194
2005-10-25,11.5634
