date,value
2005-01-17,17.1323
2005-01-18,17.136
2005-01-19,17.1996
2005-01-20,17.2646
2005-01-21,17.3076
2005-01-22,17.3076
2005-01-23,17.3076
2005-01-24,17.3785
2005-01-25,17.4493
2005-01-26,17.5565
2005-01-27,17.6741
2005-01-28,17.7834
2005-01-29,17.7834
2005-01-30,17.7834
2005-01-31,17.8912
2005-02-01,18.0507
2005-02-02,18.1809
2005-02-03,18.3552
2005-02-04,18.5798
2005-02-05,18.5798
2005-02-06,18.5798
2005-02-07,18.8216
2005-02-08,19.0074
2005-02-09,19.1268
2005-02-10,19.2672
2005-02-11,19.4491
2005-02-12,19.4491
2005-02-13,19.4491
2005-02-14,19.6845
2005-02-15,19.8308
2005-02-16,19.9551
2005-02-17,20.0952
2005-02-18,20.1591
2005-02-19,20.1591
2005-02-20,20.1591
2005-02-21,20.2212
2005-02-22,20.3562
2005-02-23,20.558
2005-02-24,20.7465
2005-02-25,20.9145
2005-02-26,20.9145
2005-02-27,20.9145
2005-02-28,21.0723
2005-03-01,21.2295
2005-03-02,21.4043
2005-03-03,21.5824
2005-03-04,21.825
2005-03-05,21.825
2005-03-06,21.825
2005-03-07,22.0558
2005-03-08,22.1963
2005-03-09,22.3158
2005-03-10,22.3261
2005-03-11,22.2663
2005-03-12,22.2663
2005-03-13,22.2663
2005-03-14,22.1604
2005-03-15,22.1225
2005-03-16,22.0757
2005-03-17,22.0287
2005-03-18,21.9856
2005-03-19,21.9856
2005-03-20,21.9856
2005-03-21,21.9184
2005-03-22,21.9184
2005-03-23,21.8633
2005-03-24,21.8687
2005-03-25,21.8687
2005-03-26,21.8687
2005-03-27,21.8687
2005-03-28,21.9041
2005-03-29,21.9386
2005-03-30,21.9817
2005-03-31,22.0346
2005-04-01,22.1215
2005-04-02,22.1215
2005-04-03,22.1215
2005-04-04,22.232
2005-04-05,22.3501
2005-04-06,22.418
2005-04-07,22.5554
2005-04-08,22.7171
2005-04-09,22.7171
2005-04-10,22.7171
2005-04-11,22.8601
2005-04-12,23.02
2005-04-13,23.0875
2005-04-14,23.1039
2005-04-15,23.0555
2005-04-16,23.0555
2005-04-17,23.0555
2005-04-18,22.9253
2005-04-19,22.8025
2005-04-20,22.7838
2005-04-21,22.7313
2005-04-22,22.6356
2005-04-23,22.6356
2005-04-24,22.6356
2005-04-25,22.5802
2005-04-26,22.5271
2005-04-27,22.5187
2005-04-28,22.5219
2005-04-29,22.4682
2005-04-30,22.4682
2005-05-01,22.4682
2005-05-02,22.417
2005-05-03,22.3309
2005-05-04,22.2
2005-05-05,22.0695
2005-05-06,21.9863
2005-05-07,21.9863
2005-05-08,21.9863
2005-05-09,21.9027
2005-05-10,21.7816
2005-05-11,21.6758
2005-05-12,21.5694
2005-05-13,21.4599
2005-05-14,21.4599
2005-05-15,21.4599
2005-05-16,21.3524
2005-05-17,21.2372
2005-05-18,21.1909
2005-05-19,21.0994
2005-05-20,21.0349
