date,value
2005-01-17,12.8089
2005-01-18,12.8515
2005-01-19,12.8985
2005-01-20,12.954
2005-01-21,12.9559
2005-01-22,12.9559
2005-01-23,12.9559
2005-01-24,12.9562
2005-01-25,12.9824
2005-01-26,12.9944
2005-01-27,12.9711
2005-01-28,12.914
2005-01-29,12.914
2005-01-30,12.914
2005-01-31,12.843
2005-02-01,12.761
2005-02-02,12.7452
2005-02-03,12.761
2005-02-04,12.8052
2005-02-05,12.8052
2005-02-06,12.8052
2005-02-07,12.8569
2005-02-08,12.8752
2005-02-09,12.9083
2005-02-10,12.9837
2005-02-11,13.1149
2005-02-12,13.1149
2005-02-13,13.1149
2005-02-14,13.3391
2005-02-15,13.536
2005-02-16,13.7126
2005-02-17,13.9
2005-02-18,14.0457
2005-02-19,14.0457
2005-02-20,14.0457
2005-02-21,14.1838
2005-02-22,14.3646
2005-02-23,14.5522
2005-02-24,14.7292
2005-02-25,14.8519
2005-02-26,14.8519
2005-02-27,14.8519
2005-02-28,14.9354
2005-03-01,14.99
2005-03-02,14.9811
2005-03-03,14.9991
2005-03-04,15.0837
2005-03-05,15.0837
2005-03-06,15.0837
2005-03-07,15.1449
2005-03-08,15.1869
2005-03-09,15.2425
2005-03-10,15.2191
2005-03-11,15.1541
2005-03-12,15.1541
2005-03-13,15.1541
2005-03-14,15.0913
2005-03-15,15.0765
2005-03-16,15.073
2005-03-17,15.0616
2005-03-18,15.0537
2005-03-19,15.0537
2005-03-20,15.0537
2005-03-21,15.0622
2005-03-22,15.0648
2005-03-23,15.0379
2005-03-24,15.0398
2005-03-25,15.0398
2005-03-26,15.0398
2005-03-27,15.0398
2005-03-28,15.0566
2005-03-29,15.0427
2005-03-30,15.0019
2005-03-31,15.0303
2005-04-01,15.0888
2005-04-02,15.0888
2005-04-03,15.0888
2005-04-04,15.1661
2005-04-05,15.1851
2005-04-06,15.1721
2005-04-07,15.2334
2005-04-08,15.2707
2005-04-09,15.2707
2005-04-10,15.2707
2005-04-11,15.3367
2005-04-12,15.4166
2005-04-13,15.4763
2005-04-14,15.4668
2005-04-15,15.3484
2005-04-16,15.3484
2005-04-17,15.3484
2005-04-18,15.1355
2005-04-19,15.0209
2005-04-20,14.994
2005-04-21,14.8519
2005-04-22,14.8068
2005-04-23,14.8068
2005-04-24,14.8068
2005-04-25,14.7676
2005-04-26,14.6981
2005-04-27,14.6542
2005-04-28,14.6144
2005-04-29,14.6375
2005-04-30,14.6375
2005-05-01,14.6375
2005-05-02,14.6962
2005-05-03,14.7673
2005-05-04,14.7828
2005-05-05,14.8683
2005-05-06,14.9467
2005-05-07,14.9467
2005-05-08,14.9467
2005-05-09,15.0082
2005-05-10,15.0809
2005-05-11,15.1365
2005-05-12,15.1999
2005-05-13,15.21
2005-05-14,15.21
2005-05-15,15.21
2005-05-16,15.2069
2005-05-17,15.1494
2005-05-18,15.1279
2005-05-19,15.054
2005-05-20,14.964
2005-05-21,14.964
2005-05-22,14.964
2005-05-23,14.964
2005-05-24,14.8743
2005-05-25,14.8011
2005-05-26,14.7929
2005-05-27,14.8244
2005-05-28,14.8244
2005-05-29,14.8244
2005-05-30,14.9034
2005-05-31,15.0133
2005-06-01,15.1118
2005-06-02,15.1924
2005-06-03,15.3301
2005-06-04,15.3301
2005-06-05,15.3301
2005-06-06,15.4395
2005-06-07,15.5668
2005-06-08,15.672
2005-06-09,15.7851
2005-06-10,15.9119
2005-06-11,15.9119
2005-06-12,15.9119
2005-06-13,16.0577
2005-06-14,16.2301
2005-06-15,16.4252
2005-06-16,16.6342
2005-06-17,16.8757
2005-06-18,16.8757
2005-06-19,16.8757
2005-06-20,17.1281
2005-06-21,17.3674
2005-06-22,17.5948
2005-06-23,17.7858
2005-06-24,17.9382
2005-06-25,17.9382
2005-06-26,17.9382
2005-06-27,18.0653
2005-06-28,18.2079
2005-06-29,18.2961
2005-06-30,18.3508
2005-07-01,18.3508
2005-07-02,18.3508
2005-07-03,18.3508
