date,value
2005-01-04,41.63
2005-01-05,40.49
2005-01-06,40.91
2005-01-07,40.45
2005-01-08,40.45
2005-01-09,40.45
2005-01-10,40.8
2005-01-11,40.36
2005-01-12,40.99
2005-01-13,41.95
2005-01-14,42.33
2005-01-15,42.33
2005-01-16,42.33
2005-01-17,42.1
2005-01-18,42.62
2005-01-19,41.94
2005-01-20,41.71
2005-01-21,41.04
2005-01-22,41.04
2005-01-23,41.04
2005-01-24,41.13
2005-01-25,41.0
2005-01-26,40.65
2005-01-27,40.36
2005-01-28,40.09
2005-01-29,40.09
2005-01-30,40.09
2005-01-31,39.9
2005-02-01,41.25
2005-02-02,41.98
2005-02-03,41.6
2005-02-04,42.47
2005-02-05,42.47
2005-02-06,42.47
2005-02-07,42.41
2005-02-08,41.64
2005-02-09,42.49
2005-02-10,44.76
2005-02-11,46.78
2005-02-12,46.78
2005-02-13,46.78
2005-02-14,46.75
2005-02-15,47.07
2005-02-16,48.04
2005-02-17,47.5
2005-02-18,47.03
2005-02-19,47.03
2005-02-20,47.03
2005-02-21,47.24
2005-02-22,48.75
2005-02-23,48.25
2005-02-24,48.6
2005-02-25,49.43
2005-02-26,49.43
2005-02-27,49.43
2005-02-28,49.4
2005-03-01,48.3
2005-03-02,47.73
2005-03-03,49.15
2005-03-04,49.3
2005-03-05,49.3
2005-03-06,49.3
2005-03-07,49.35
2005-03-08,49.1
2005-03-09,49.47
2005-03-10,47.46
2005-03-11,47.53
2005-03-12,47.53
2005-03-13,47.53
2005-03-14,47.26
2005-03-15,47.94
2005-03-16,47.04
2005-03-17,48.54
2005-03-18,48.84
2005-03-19,48.84
2005-03-20,48.84
2005-03-21,49.33
2005-03-22,50.07
2005-03-23,48.44
2005-03-24,47.87
2005-03-25,47.87
2005-03-26,47.87
2005-03-27,47.87
2005-03-28,47.09
2005-03-29,47.7
2005-03-30,46.63
2005-03-31,48.9
2005-04-01,50.87
2005-04-02,50.87
2005-04-03,50.87
2005-04-04,51.87
2005-04-05,49.91
2005-04-06,50.1
2005-04-07,50.74
2005-04-08,49.05
2005-04-09,49.05
2005-04-10,49.05
2005-04-11,49.14
2005-04-12,49.44
2005-04-13,47.89
2005-04-14,47.31
2005-04-15,45.75
2005-04-16,45.75
2005-04-17,45.75
2005-04-18,45.5
2005-04-19,47.04
2005-04-20,47.5
2005-04-21,47.25
2005-04-22,47.91
2005-04-23,47.91
2005-04-24,47.91
2005-04-25,48.1
2005-04-26,47.22
2005-04-27,46.5
2005-04-28,46.17
2005-04-29,46.87
2005-04-30,46.87
2005-05-01,46.87
2005-05-02,48.3
2005-05-03,48.26
2005-05-04,48.49
2005-05-05,49.23
2005-05-06,50.13
2005-05-07,50.13
2005-05-08,50.13
2005-05-09,49.51
2005-05-10,49.35
2005-05-11,48.8
2005-05-12,47.9
2005-05-13,46.95
2005-05-14,46.95
2005-05-15,46.95
2005-05-16,46.18
2005-05-17,47.46
2005-05-18,48.01
2005-05-19,47.14
2005-05-20,46.92
2005-05-21,46.92
2005-05-22,46.92
2005-05-23,46.92
2005-05-24,47.2
2005-05-25,48.14
2005-05-26,48.74
2005-05-27,49.13
2005-05-28,49.13
2005-05-29,49.13
2005-05-30,50.09
2005-05-31,49.68
2005-06-01,50.15
2005-06-02,50.57
2005-06-03,50.66
2005-06-04,50.66
2005-06-05,50.66
2005-06-06,50.68
2005-06-07,50.95
2005-06-08,51.75
2005-06-09,53.0
2005-06-10,54.28
2005-06-11,54.28
2005-06-12,54.28
2005-06-13,55.4
2005-06-14,55.62
2005-06-15,56.43
2005-06-16,57.68
2005-06-17,59.27
2005-06-18,59.27
2005-06-19,59.27
2005-06-20,58.9
2005-06-21,58.45
2005-06-22,58.06
2005-06-23,58.41
2005-06-24,58.1
2005-06-25,58.1
2005-06-26,58.1
2005-06-27,60.24
2005-06-28,59.81
2005-06-29,59.45
2005-06-30,59.48
2005-07-01,59.48
2005-07-02,59.48
2005-07-03,59.48
2005-07-04,60.69
2005-07-05,62.6
2005-07-06,63.67
2005-07-07,62.22
2005-07-08,63.5
2005-07-09,63.5
2005-07-10,63.5
2005-07-11,62.83
2005-07-12,63.99
2005-07-13,63.45
2005-07-14,62.1
2005-07-15,60.5
2005-07-16,60.5
2005-07-17,60.5
2005-07-18,60.0
2005-07-19,59.82
2005-07-20,60.19
2005-07-21,59.34
2005-07-22,60.0
2005-07-23,60.0
2005-07-24,60.0
2005-07-25,60.86
2005-07-26,61.19
2005-07-27,61.29
2005-07-28,61.47
2005-07-29,61.19
