date,value
2005-02-04,1.2502
2005-02-05,1.2502
2005-02-06,1.2502
2005-02-07,1.2582
2005-02-08,1.2574
2005-02-09,1.2523
2005-02-10,1.2559
2005-02-11,1.2436
2005-02-12,1.2436
2005-02-13,1.2436
2005-02-14,1.2387
2005-02-15,1.2374
2005-02-16,1.2452
2005-02-17,1.2383
2005-02-18,1.2336
2005-02-19,1.2336
2005-02-20,1.2336
2005-02-21,1.236
2005-02-22,1.2352
2005-02-23,1.2467
2005-02-24,1.2498
2005-02-25,1.2453
2005-02-26,1.2453
2005-02-27,1.2453
2005-02-28,1.2393
2005-03-01,1.2449
2005-03-02,1.2462
2005-03-03,1.2494
2005-03-04,1.2451
2005-03-05,1.2451
2005-03-06,1.2451
2005-03-07,1.2351
2005-03-08,1.2301
2005-03-09,1.2141
2005-03-10,1.2069
2005-03-11,1.2114
2005-03-12,1.2114
2005-03-13,1.2114
2005-03-14,1.2099
2005-03-15,1.2088
2005-03-16,1.2079
2005-03-17,1.2093
2005-03-18,1.2078
2005-03-19,1.2078
2005-03-20,1.2078
2005-03-21,1.2139
2005-03-22,1.2126
2005-03-23,1.2181
2005-03-24,1.2198
2005-03-25,1.2189
2005-03-26,1.2189
2005-03-27,1.2189
2005-03-28,1.2265
2005-03-29,1.222
2005-03-30,1.2185
2005-03-31,1.2173
2005-04-01,1.2186
2005-04-02,1.2186
2005-04-03,1.2186
2005-04-04,1.2233
2005-04-05,1.2256
2005-04-06,1.2249
2005-04-07,1.2237
2005-04-08,1.232
2005-04-09,1.232
2005-04-10,1.232
2005-04-11,1.2364
2005-04-12,1.242
2005-04-13,1.2387
2005-04-14,1.2457
2005-04-15,1.2478
2005-04-16,1.2478
2005-04-17,1.2478
2005-04-18,1.2497
2005-04-19,1.249
2005-04-20,1.2451
2005-04-21,1.2427
2005-04-22,1.2402
2005-04-23,1.2402
2005-04-24,1.2402
2005-04-25,1.2413
2005-04-26,1.249
2005-04-27,1.2512
2005-04-28,1.2537
2005-04-29,1.2618
2005-04-30,1.2618
2005-05-01,1.2618
2005-05-02,1.2639
2005-05-03,1.2578
2005-05-04,1.2541
2005-05-05,1.2485
2005-05-06,1.2476
2005-05-07,1.2476
2005-05-08,1.2476
2005-05-09,1.2439
2005-05-10,1.239
2005-05-11,1.2499
2005-05-12,1.2524
2005-05-13,1.2659
2005-05-14,1.2659
2005-05-15,1.2659
2005-05-16,1.2733
2005-05-17,1.2729
2005-05-18,1.2666
2005-05-19,1.2647
2005-05-20,1.2677
2005-05-21,1.2677
2005-05-22,1.2677
2005-05-23,1.2665
2005-05-24,1.2639
2005-05-25,1.266
2005-05-26,1.2693
2005-05-27,1.2671
2005-05-28,1.2671
2005-05-29,1.2671
2005-05-30,1.2595
2005-05-31,1.2631
2005-06-01,1.2573
2005-06-02,1.2515
2005-06-03,1.2508
2005-06-04,1.2508
2005-06-05,1.2508
2005-06-06,1.2488
2005-06-07,1.251
2005-06-08,1.2534
2005-06-09,1.2578
2005-06-10,1.2586
2005-06-11,1.2586
2005-06-12,1.2586
2005-06-13,1.2591
2005-06-14,1.2589
2005-06-15,1.2536
2005-06-16,1.242
2005-06-17,1.2391
2005-06-18,1.2391
2005-06-19,1.2391
2005-06-20,1.237
2005-06-21,1.2428
2005-06-22,1.2386
2005-06-23,1.2381
2005-06-24,1.2347
2005-06-25,1.2347
2005-06-26,1.2347
2005-06-27,1.2376
2005-06-28,1.2356
2005-06-29,1.235
2005-06-30,1.2337
2005-07-01,1.2432
2005-07-02,1.2432
2005-07-03,1.2432
2005-07-04,1.2478
2005-07-05,1.2462
2005-07-06,1.2448
2005-07-07,1.2376
2005-07-08,1.2307
2005-07-09,1.2307
2005-07-10,1.2307
2005-07-11,1.2206
2005-07-12,1.2165
2005-07-13,1.2081
2005-07-14,1.2137
2005-07-15,1.2218
2005-07-16,1.2218
2005-07-17,1.2218
2005-07-18,1.2225
2005-07-19,1.2236
2005-07-20,1.2246
2005-07-21,1.2248
2005-07-22,1.2229
2005-07-23,1.2229
2005-07-24,1.2229
2005-07-25,1.2216
2005-07-26,1.2314
2005-07-27,1.2427
2005-07-28,1.2383
2005-07-29,1.2319
2005-07-30,1.2319
2005-07-31,1.2319
2005-08-01,1.2261
2005-08-02,1.2194
2005-08-03,1.2193
2005-08-04,1.2179
2005-08-05,1.2242
2005-08-06,1.2242
2005-08-07,1.2242
2005-08-08,1.2191
2005-08-09,1.2183
2005-08-10,1.2169
2005-08-11,1.2119
2005-08-12,1.2048
2005-08-13,1.2048
2005-08-14,1.2048
2005-08-15,1.2014
2005-08-16,1.2045
2005-08-17,1.2143
2005-08-18,1.2219
2005-08-19,1.2217
2005-08-20,1.2217
2005-08-21,1.2217
2005-08-22,1.2161
2005-08-23,1.2048
2005-08-24,1.2024
2005-08-25,1.1929
2005-08-26,1.2004
2005-08-27,1.2004
2005-08-28,1.2004
2005-08-29,1.2004
2005-08-30,1.203
2005-08-31,1.1936
2005-09-01,1.1908
2005-09-02,1.1916
2005-09-03,1.1916
2005-09-04,1.1916
2005-09-05,1.1914
2005-09-06,1.1943
2005-09-07,1.1937
2005-09-08,1.1892
2005-09-09,1.1831
2005-09-10,1.1831
2005-09-11,1.1831
2005-09-12,1.188
2005-09-13,1.1882
2005-09-14,1.1837
2005-09-15,1.1897
2005-09-16,1.1865
2005-09-17,1.1865
2005-09-18,1.1865
2005-09-19,1.183
2005-09-20,1.1716
2005-09-21,1.1726
2005-09-22,1.1735
2005-09-23,1.1757
2005-09-24,1.1757
2005-09-25,1.1757
2005-09-26,1.1798
2005-09-27,1.1811
2005-09-28,1.1818
2005-09-29,1.1778
2005-09-30,1.1739
2005-10-01,1.1739
2005-10-02,1.1739
2005-10-03,1.1676
2005-10-04,1.1736
2005-10-05,1.1843
2005-10-06,1.1868
2005-10-07,1.1824
2005-10-08,1.1824
2005-10-09,1.1824
2005-10-10,1.1772
2005-10-11,1.182
2005-10-12,1.178
2005-10-13,1.1848
2005-10-14,1.1893
2005-10-15,1.1893
2005-10-16,1.1893
2005-10-17,1.1865
2005-10-18,1.1879
2005-10-19,1.1818
